Gid	gname	chr	start	end	dN_dS	dN	dS
TRINITY_DN117519_c2_g2_i4	ID=Xetrov90002331mgName=ptch1]PTC1_CHICKPTC1_CHICKQ	Chr01	123621704	123683623	0.082	0.0784	0.9559
TRINITY_DN117521_c3_g2_i4	ID=Xetrov90003028mgName=pgam5]PGAM5_XENTRPGAM5_XENTRQ	Chr01	146984769	146992952	0.0663	0.1214	1.8304
TRINITY_DN117556_c1_g3_i5	ID=Xetrov90001176mgName=ube2d3]UB2D2_XENLAUB2D2_XENLAQ	Chr01	64172619	64192129	0.327	0.564	1.7246
TRINITY_DN117589_c12_g2_i1	ID=Xetrov90002453mgName=slc7a7]YLAT1_RATYLAT1_RATQ	Chr01	128252906	128270783	0.0493	0.0716	1.4522
TRINITY_DN117593_c4_g1_i1	ID=Xetrov90002240mgName=cbwd2]CBWD1_HUMANCBWD1_HUMANQ	Chr01	116760953	116793405	0.0569	0.1025	1.8018
TRINITY_DN117640_c1_g1_i6	ID=Xetrov90003507mgName=srek1]SREK1_MOUSESREK1_MOUSEQ	Chr01	174711664	174733509	0.0523	0.1038	1.9858
TRINITY_DN117684_c5_g1_i1	ID=Xetrov90001946mgName=haus8]HAUS8_XENLAHAUS8_XENLAQ	Chr01	99918670	99929637	0.2471	0.373	1.5093
TRINITY_DN117713_c1_g1_i2	ID=Xetrov90001097mgName=alpk1]ALPK1_HUMANALPK1_HUMANQ	Chr01	59296838	59396766	0.1545	0.2285	1.4783
TRINITY_DN117715_c0_g1_i1	ID=Xetrov90002387mgName=ror2]ROR2_MOUSEROR2_MOUSEQ	Chr01	126678883	126767614	0.046	0.0534	1.1618
TRINITY_DN117726_c5_g1_i1	ID=Xetrov90002899mgName=slc5a12]SC5A1_RATSC5A1_RATQ	Chr01	143728424	143750786	0.058	0.0902	1.5544
TRINITY_DN117736_c0_g1_i5	ID=Xetrov90001873mgName=akap2]AKAP2_HUMANAKAP2_HUMANQ	Chr01	96306508	96366632	0.1423	0.2209	1.5522
TRINITY_DN117746_c0_g1_i3	ID=Xetrov90000862mgName=pdgfc]PDGFC_GECJAPDGFC_GECJAQ	Chr01	44413093	44464113	0.0824	0.0904	1.0976
TRINITY_DN117759_c0_g1_i1	ID=Xetrov90002033mgName=LOC100489262]SHB_HUMANSHB_HUMANQ	Chr01	102542493	102660325	0.0646	0.0805	1.2467
TRINITY_DN117787_c3_g2_i7	ID=Xetrov90001578mgName=pex11g]PX11C_HUMANPX11C_HUMANQ	Chr01	84273321	84277122	0.112	0.1669	1.4901
TRINITY_DN117864_c5_g1_i10	ID=Xetrov90002329mgName=Xetrov90002329mg]AMPO_MOUSEAMPO_MOUSEQ	Chr01	123441776	123465169	0.2357	0.1578	0.6695
TRINITY_DN117902_c0_g2_i1	ID=Xetrov90002928mgName=vegt]VEGT_XENTRVEGT_XENTRQ	Chr01	144396774	144408257	0.0969	0.1712	1.7679
TRINITY_DN117909_c9_g2_i1	ID=Xetrov90001126mgName=mettl14]MET14_XENLAMET14_XENLAQ	Chr01	61096783	61121668	0.0393	0.0491	1.2491
TRINITY_DN117910_c0_g3_i1	ID=Xetrov90000118mgName=LOC101733139]SUCA_MOUSESUCA_MOUSEQ	Chr01	4854434	4867935	0.0214	0.0339	1.5835
TRINITY_DN117932_c5_g1_i4	ID=Xetrov90001174mgName=slc9b2]SL9B2_XENTRSL9B2_XENTRQ	Chr01	64110605	64146637	0.1036	0.152	1.4675
TRINITY_DN117955_c4_g1_i6	ID=Xetrov90002813mgName=hps4]HPS4_HUMANHPS4_HUMANQ	Chr01	140208335	140228857	0.1645	0.2295	1.3953
TRINITY_DN117965_c2_g1_i3	ID=Xetrov90002355mgName=tdgf11]TDGF1_MOUSETDGF1_MOUSEQ	Chr01	124436144	124448483	0.2174	0.3176	1.4606
TRINITY_DN117966_c0_g1_i5	ID=Xetrov90000766mgName=Xetrov90000766mg]TEN3_HUMANTEN3_HUMANQ	Chr01	36457341	36638856	0.035	0.042	1.1999
TRINITY_DN118012_c1_g2_i4	ID=Xetrov90002258mgName=mamdc2]THIB_XENLATHIB_XENLAQ	Chr01	117467899	117529389	0.1188	0.1457	1.2269
TRINITY_DN118073_c0_g1_i1	ID=Xetrov90000489mgName=LOC100493887]TM128_BOVINTM128_BOVINQ	Chr01	18549030	18553527	0.165	0.2887	1.7491
TRINITY_DN118089_c3_g1_i5	ID=Xetrov90001673mgName=hiatl1]MF14A_MOUSEMF14A_MOUSEQ	Chr01	86497680	86522998	0.0164	0.0208	1.2662
TRINITY_DN118097_c2_g1_i5	ID=Xetrov90000429mgName=dok7-like]DOK7_MOUSEDOK7_MOUSEQ	Chr01	15769619	15833075	0.1136	0.1005	0.8851
TRINITY_DN118111_c0_g1_i1	ID=Xetrov90003236mgName=osbp2]OSBP2_HUMANOSBP2_HUMANQ	Chr01	157896055	158007551	0.0398	0.0442	1.1111
TRINITY_DN118127_c1_g2_i2	ID=Xetrov90003166mgName=ppp1cc]PPIG_XENTRPPIG_XENTRQ	Chr01	154318388	154331083	0.001	0.0012	1.2125
TRINITY_DN118142_c0_g1_i1	ID=Xetrov90003624mgName=c7]CO7_PIGCO7_PIGQ	Chr01	182919844	182955199	0.1276	0.2344	1.8376
TRINITY_DN118158_c10_g3_i5	ID=Xetrov90001689mgName=chchd10]CHC10_HUMANCHC10_HUMANQ	Chr01	86912587	86916478	0.1627	0.1984	1.2199
TRINITY_DN118164_c8_g2_i1	ID=Xetrov90000933mgName=slc10a7]NTP7B_XENLANTP7B_XENLAQ	Chr01	48736012	48859753	0.022	0.0175	0.795
TRINITY_DN118168_c4_g1_i2	ID=Xetrov90001449mgName=reep6]REEP5_BOVINREEP5_BOVINQ	Chr01	80453085	80463056	0.0678	0.0823	1.2146
TRINITY_DN118168_c4_g3_i1	ID=Xetrov90001447mgName=pcsk4]PCSK4_HUMANPCSK4_HUMANQ	Chr01	80419484	80452917	0.1329	0.2534	1.9061
TRINITY_DN118168_c7_g1_i2	ID=Xetrov90001983mgName=hook3-like]HOOK3_XENLAHOOK3_XENLAQ	Chr01	100902983	100948594	0.011	0.0191	1.7401
TRINITY_DN118243_c6_g1_i1	ID=Xetrov90002368mgName=s1pr3]S1PR3_HUMANS1PR3_HUMANQ	Chr01	125547611	125560878	0.0681	0.1077	1.581
TRINITY_DN118251_c3_g2_i4	ID=Xetrov90001982mgName=rnf170]RN170_XENTRRN170_XENTRQ	Chr01	100877602	100888632	0.0716	0.1051	1.4672
TRINITY_DN118300_c2_g1_i1	ID=Xetrov90000902mgName=fbxw7-like]FBXW7_HUMANFBXW7_HUMANQ	Chr01	46276113	46322120	0.0294	0.0221	0.7504
TRINITY_DN118325_c0_g1_i6	ID=Xetrov90003105mgName=ogfod2]OGFD2_XENTROGFD2_XENTRQ	Chr01	152771504	152782610	0.1148	0.1701	1.4811
TRINITY_DN118359_c2_g1_i1	ID=Xetrov90003381mgName=tmem171]TM171_RATTM171_RATQ	Chr01	166721771	166736225	0.1616	0.224	1.3862
TRINITY_DN118398_c2_g1_i2	ID=Xetrov90000981mgName=LOC101731146]MGST2_BOVINMGST2_BOVINQ	Chr01	51581122	51602714	0.1801	0.1971	1.0939
TRINITY_DN118428_c0_g1_i6	ID=Xetrov90001764mgName=LOC100037859]PURP_CHICKPURP_CHICKQ	Chr01	90488416	90497182	0.0953	0.1224	1.2846
TRINITY_DN118445_c4_g3_i9	ID=Xetrov90003051mgName=ran]RAN_CHICKRAN_CHICKQ	Chr01	149245485	149254571	0.0131	0.0102	0.7783
TRINITY_DN118446_c8_g1_i2	ID=Xetrov90000765mgName=dctd]DCTD_RATDCTD_RATQ	Chr01	36234709	36242514	0.0677	0.1202	1.7754
TRINITY_DN118449_c6_g1_i4	ID=Xetrov90001293mgName=timm44]TIM44_HUMANTIM44_HUMANQ	Chr01	73395692	73455402	0.0631	0.0998	1.5807
TRINITY_DN118483_c7_g1_i1	ID=Xetrov90002286mgName=rfk]RIFK_MOUSERIFK_MOUSEQ	Chr01	119678904	119684613	0.087	0.1453	1.6712
TRINITY_DN118501_c0_g1_i2	ID=Xetrov90000858mgName=fam198b]F198B_HUMANF198B_HUMANQ	Chr01	43970167	43996693	0.1556	0.2031	1.306
TRINITY_DN118569_c0_g2_i2	ID=Xetrov90000879mgName=fgg]FIBG_XENLAFIBG_XENLAQ	Chr01	45258642	45265469	0.1058	0.1634	1.5446
TRINITY_DN118601_c5_g2_i2	ID=Xetrov90002313mgName=slc28a3]S28A3_MOUSES28A3_MOUSEQ	Chr01	122105197	122135061	0.0843	0.1147	1.3603
TRINITY_DN118669_c2_g2_i4	ID=Xetrov90002925mgName=klhl22]KLH22_XENTRKLH22_XENTRQ	Chr01	144357725	144373007	0.0752	0.1214	1.613
TRINITY_DN118680_c3_g2_i3	ID=Xetrov90001322mgName=tjp3-like]ZO3_HUMANZO3_HUMANQ	Chr01	74416130	74449330	0.1194	0.2006	1.6799
TRINITY_DN118710_c4_g3_i3	ID=Xetrov90000786mgName=hmgb2]HMGB2_CHICKHMGB2_CHICKQ	Chr01	39547683	39553597	0.0458	0.0608	1.3276
TRINITY_DN118826_c4_g2_i3	ID=Xetrov90000619mgName=tmem33]TMM33_HUMANTMM33_HUMANQ	Chr01	27958081	27966065	0.0553	0.0606	1.0967
TRINITY_DN118846_c0_g1_i1	ID=Xetrov90003608mgName=nnt]NNTM_HUMANNNTM_HUMANQ	Chr01	181902473	181967538	0.0487	0.0637	1.3076
TRINITY_DN118887_c1_g1_i4	ID=Xetrov90001371mgName=antxr2]ANTR2_HUMANANTR2_HUMANQ	Chr01	76300334	76403564	0.112	0.14	1.2504
TRINITY_DN118890_c2_g1_i1	ID=Xetrov90000705mgName=slc7a2-like]CTR2_HUMANCTR2_HUMANQ	Chr01	33210256	33237083	0.0501	0.072	1.4376
TRINITY_DN118988_c1_g1_i9	ID=Xetrov90000755mgName=stox2-like]STOX2_HUMANSTOX2_HUMANQ	Chr01	35710892	35812084	0.0565	0.0352	0.6231
TRINITY_DN119029_c0_g2_i2	ID=Xetrov90002252mgName=MGC76064]ZO2_CANLFZO2_CANLFQ	Chr01	117118938	117143992	0.1084	0.1262	1.1637
TRINITY_DN119042_c4_g1_i4	ID=Xetrov90002302mgName=MGC147600]RASEF_XENTRRASEF_XENTRQ	Chr01	121620923	121668420	0.0613	0.0895	1.459
TRINITY_DN119046_c2_g2_i7	ID=Xetrov90001432mgName=arrdc2]ARRD2_HUMANARRD2_HUMANQ	Chr01	80069097	80076576	0.0687	0.0858	1.249
TRINITY_DN119065_c5_g2_i2	ID=Xetrov90001749mgName=leprotl1]LERL1_PONABLERL1_PONABQ	Chr01	89994288	89998297	0.6216	0.9171	1.4754
TRINITY_DN119084_c3_g1_i3	ID=Xetrov90003769mgName=LOC100497580-like2]ACNT1_MOUSEACNT1_MOUSEQ	Chr01	191558286	191560989	0.1196	0.211	1.7634
TRINITY_DN119108_c0_g1_i3	ID=Xetrov90002916mgName=LOC100497518]GGT5_RATGGT5_RATQ	Chr01	144188447	144213270	0.1916	0.3045	1.589
TRINITY_DN119114_c0_g3_i2	ID=Xetrov90000703mgName=vps37a]VP37A_MOUSEVP37A_MOUSEQ	Chr01	33086111	33112531	0.0913	0.1209	1.3236
TRINITY_DN119137_c6_g1_i5	ID=Xetrov90000233mgName=ubox5]RNF37_HUMANRNF37_HUMANQ	Chr01	6358205	6376017	0.1081	0.1715	1.5872
TRINITY_DN119168_c2_g1_i2	ID=Xetrov90001086mgName=enpep]AMPE_RATAMPE_RATQ	Chr01	58901065	58936577	0.1215	0.1815	1.4937
TRINITY_DN119200_c2_g1_i6	ID=Xetrov90002785mgName=aldh3b1-like1]AL3B1_MOUSEAL3B1_MOUSEQ	Chr01	138358906	138368916	0.1138	0.1828	1.6065
TRINITY_DN119202_c0_g1_i2	ID=Xetrov90002819mgName=LOC100497142-like]RDH12_MOUSERDH12_MOUSEQ	Chr01	140348648	140357206	0.0907	0.1554	1.7143
TRINITY_DN119206_c0_g1_i6	ID=Xetrov90003168mgName=acad10]ACD10_HUMANACD10_HUMANQ	Chr01	154392658	154426155	0.0935	0.1435	1.5346
TRINITY_DN119206_c0_g2_i1	ID=Xetrov90003169mgName=brap]BRAP_HUMANBRAP_HUMANQ	Chr01	154430859	154444007	0.0351	0.0637	1.8177
TRINITY_DN119236_c5_g2_i2	ID=Xetrov90000702mgName=cnot7]CNOT7_XENLACNOT7_XENLAQ	Chr01	33076463	33086058	0.0084	0.0092	1.0972
TRINITY_DN119266_c1_g1_i3	ID=Xetrov90000994mgName=elf2]ELF2_HUMANELF2_HUMANQ	Chr01	51750008	51807807	0.057	0.0871	1.5275
TRINITY_DN119288_c3_g1_i1	ID=Xetrov90000477mgName=wdr1]WDR1_XENTRWDR1_XENTRQ	Chr01	18158616	18189648	0.0825	0.1171	1.4195
TRINITY_DN119328_c7_g3_i1	ID=Xetrov90001343mgName=shd-like]SHD_MOUSESHD_MOUSEQ	Chr01	75110638	75118204	0.2335	0.3483	1.4914
TRINITY_DN119370_c1_g1_i1	ID=Xetrov90000781mgName=fbxo8]FBX8_MOUSEFBX8_MOUSEQ	Chr01	39144104	39165478	0.0908	0.076	0.837
TRINITY_DN119445_c0_g1_i1	ID=Xetrov90003835mgName=ubap1]UBAP1_HUMANUBAP1_HUMANQ	Chr01	194575893	194584252	0.119	0.211	1.7731
TRINITY_DN119469_c5_g1_i2	ID=Xetrov90001570mgName=btbd2]BTBD2_HUMANBTBD2_HUMANQ	Chr01	83969265	83983075	0.0256	0.0323	1.2626
TRINITY_DN119498_c7_g1_i1	ID=Xetrov90000877mgName=LOC100485002]LRAT_BOVINLRAT_BOVINQ	Chr01	45162774	45175403	0.0971	0.1312	1.3519
TRINITY_DN119518_c0_g1_i10	ID=Xetrov90000404mgName=ctbp1]CTBP1_XENLACTBP1_XENLAQ	Chr01	14365424	14412853	0.0243	0.0249	1.0232
TRINITY_DN119584_c5_g2_i3	ID=Xetrov90003089mgName=ddx55]DDX55_XENLADDX55_XENLAQ	Chr01	152386775	152397234	0.0388	0.0731	1.8829
TRINITY_DN119592_c3_g1_i2	ID=Xetrov90001889mgName=LOC594879]GRHPR_HUMANGRHPR_HUMANQ	Chr01	96973380	96983667	0.0524	0.0873	1.6669
TRINITY_DN119600_c0_g3_i12	ID=Xetrov90002592mgName=adcy4-like]ADCY4_HUMANADCY4_HUMANQ	Chr01	130213303	130244025	0.066	0.1032	1.5622
TRINITY_DN119604_c0_g1_i2	ID=Xetrov90003153mgName=ift81]IFT81_MOUSEIFT81_MOUSEQ	Chr01	153958425	154008144	0.0506	0.0973	1.9218
TRINITY_DN119624_c3_g1_i1	ID=Xetrov90002752mgName=nudt12-like]NUD12_MOUSENUD12_MOUSEQ	Chr01	137154567	137166559	0.0955	0.1418	1.4845
TRINITY_DN119634_c3_g5_i2	ID=Xetrov90002418mgName=pabpn1]PABP2_BOVINPABP2_BOVINQ	Chr01	127507631	127513908	0.0357	0.0578	1.622
TRINITY_DN119652_c1_g3_i5	ID=Xetrov90001761mgName=prc12]PRC1_HUMANPRC1_HUMANQ	Chr01	90380680	90412237	0.1268	0.2109	1.6624
TRINITY_DN119684_c3_g1_i2	ID=Xetrov90003073mgName=scarb1]SCRB1_PIGSCRB1_PIGQ	Chr01	151579205	151635850	0.0987	0.1517	1.5374
TRINITY_DN119688_c1_g1_i2	ID=Xetrov90003511mgName=trappc13-like]TPC13_XENTRTPC13_XENTRQ	Chr01	174999854	175023741	0.0166	0.0207	1.2464
TRINITY_DN119733_c0_g1_i1	ID=Xetrov90003648mgName=lmbrd2]LMBD2_XENLALMBD2_XENLAQ	Chr01	184038836	184057837	0.0441	0.0597	1.3527
TRINITY_DN119889_c3_g3_i1	ID=Xetrov90003174mgName=fam109a]SESQ1_RATSESQ1_RATQ	Chr01	154647352	154648176	0.2168	0.3081	1.4214
TRINITY_DN119914_c0_g1_i2	ID=Xetrov90002874mgName=acads]ACADS_RATACADS_RATQ	Chr01	143384141	143392518	0.037	0.0607	1.6414
TRINITY_DN119963_c3_g1_i1	ID=Xetrov90000940mgName=LOC100498590]	Chr01	49137677	49150477	0.2952	0.4444	1.5053
TRINITY_DN119999_c4_g2_i4	ID=Xetrov90003145mgName=rnf34]RNF34_BOVINRNF34_BOVINQ	Chr01	153758327	153778437	0.0639	0.0844	1.3193
TRINITY_DN120000_c4_g1_i3	ID=Xetrov90001741mgName=uba6-like]UBA6_MOUSEUBA6_MOUSEQ	Chr01	89011589	89050856	0.0845	0.1104	1.3057
TRINITY_DN120124_c5_g1_i2	ID=Xetrov90001131mgName=myoz2]MYOZ2_BOVINMYOZ2_BOVINQ	Chr01	61330356	61361101	0.1089	0.1944	1.7848
TRINITY_DN120131_c4_g1_i1	ID=Xetrov90001770mgName=anxa3]ANXA3_BOVINANXA3_BOVINQ	Chr01	90853582	90872154	0.0632	0.0769	1.2173
TRINITY_DN120137_c0_g1_i2	ID=Xetrov90002289mgName=Xetrov90002289mg]PRUN2_XENTRPRUN2_XENTRQ	Chr01	119794547	119830091	0.0553	0.075	1.356
TRINITY_DN120153_c5_g1_i1	ID=Xetrov90003023mgName=trmt2a]TRM2A_HUMANTRM2A_HUMANQ	Chr01	146893038	146902378	0.1018	0.1475	1.4495
TRINITY_DN120155_c1_g2_i1	ID=Xetrov90001532mgName=LOC100494506-like]EAA1_HUMANEAA1_HUMANQ	Chr01	82847293	82867542	0.0504	0.0789	1.564
TRINITY_DN120166_c4_g2_i1	ID=Xetrov90003128mgName=diablo]DBLOH_XENLADBLOH_XENLAQ	Chr01	153284825	153294808	0.0949	0.1756	1.8501
TRINITY_DN120208_c2_g1_i1	ID=Xetrov90003824mgName=tpgs2]TPGS2_HUMANTPGS2_HUMANQ	Chr01	193667121	193673469	0.1083	0.1999	1.846
TRINITY_DN120227_c10_g2_i3	ID=Xetrov90003315mgName=cdo1]CDO1_DANRECDO1_DANREQ	Chr01	163360099	163375945	0.0428	0.0763	1.7826
TRINITY_DN120239_c0_g4_i1	ID=Xetrov90003459mgName=fam172a]F172A_XENTRF172A_XENTRQ	Chr01	171646628	171901358	0.0561	0.0826	1.4719
TRINITY_DN120367_c1_g1_i4	ID=Xetrov90002885mgName=patz1]PATZ1_HUMANPATZ1_HUMANQ	Chr01	143518974	143541034	0.0558	0.0714	1.2797
TRINITY_DN120372_c0_g1_i2	ID=Xetrov90002440mgName=c14orf93]CN093_HUMANCN093_HUMANQ	Chr01	127996764	128015494	0.0742	0.123	1.6583
TRINITY_DN120409_c0_g1_i2	ID=Xetrov90001385mgName=sh2d4a]SH24A_XENTRSH24A_XENTRQ	Chr01	77329522	77375334	0.1119	0.2228	1.9909
TRINITY_DN120410_c4_g2_i1	ID=Xetrov90001383mgName=ints10-like]INT10_CHICKINT10_CHICKQ	Chr01	77111628	77133975	0.0402	0.0669	1.663
TRINITY_DN120432_c1_g3_i1	ID=Xetrov90003537mgName=depdc1b]DEP1B_MOUSEDEP1B_MOUSEQ	Chr01	176690855	176705655	0.0754	0.1276	1.6918
TRINITY_DN120451_c4_g1_i1	ID=Xetrov90001222mgName=atoh1]ATOH1_HUMANATOH1_HUMANQ	Chr01	67556131	67556913	0.0948	0.1712	1.8065
TRINITY_DN120461_c6_g1_i6	ID=Xetrov90003133mgName=bcl7a]BCL7A_XENLABCL7A_XENLAQ	Chr01	153437220	153452772	0.0712	0.1194	1.6772
TRINITY_DN120521_c2_g1_i1	ID=Xetrov90003535mgName=elovl7]ELOV7_BOVINELOV7_BOVINQ	Chr01	176647919	176662062	0.0538	0.0934	1.7352
TRINITY_DN120589_c0_g2_i1	ID=Xetrov90003298mgName=lox]LYOX_BOVINLYOX_BOVINQ	Chr01	161308544	161335177	0.0847	0.1271	1.5007
TRINITY_DN120624_c3_g1_i1	ID=Xetrov90000894mgName=fhdc1]FHDC1_MOUSEFHDC1_MOUSEQ	Chr01	46032260	46056627	0.1384	0.2354	1.701
TRINITY_DN120635_c0_g2_i2	ID=Xetrov90001012mgName=pgrmc2]PGRC2_RATPGRC2_RATQ	Chr01	54746200	54754930	0.0934	0.1245	1.3333
TRINITY_DN120651_c3_g1_i19	ID=Xetrov90003448mgName=mef2c]MEF2C_PONABMEF2C_PONABQ	Chr01	170300877	170378182	0.0481	0.0219	0.4547
TRINITY_DN120652_c0_g1_i6	ID=Xetrov90002129mgName=ift74]IFT74_MOUSEIFT74_MOUSEQ	Chr01	110027308	110072027	0.0729	0.1153	1.5826
TRINITY_DN120653_c3_g7_i1	ID=Xetrov90000833mgName=tma16]TMA16_XENTRTMA16_XENTRQ	Chr01	42390256	42410884	0.0964	0.1903	1.9742
TRINITY_DN120678_c5_g2_i2	ID=Xetrov90002818mgName=cryba4]CRBA4_BOVINCRBA4_BOVINQ	Chr01	140326949	140340310	0.0349	0.0227	0.6518
TRINITY_DN120732_c2_g2_i2	ID=Xetrov90002673mgName=zmat5]ZMAT5_MOUSEZMAT5_MOUSEQ	Chr01	132234180	132242183	0.1508	0.2129	1.4116
TRINITY_DN120754_c6_g2_i2	ID=Xetrov90001151mgName=tbck]TBCK_CHICKTBCK_CHICKQ	Chr01	62810202	62931279	0.0536	0.0753	1.4043
TRINITY_DN120768_c0_g1_i4	ID=Xetrov90003600mgName=isl1]ISL1_CHICKISL1_CHICKQ	Chr01	180513138	180524427	0.009	0.0077	0.8505
TRINITY_DN120800_c0_g1_i5	ID=Xetrov90001902mgName=nans]SIAS_HUMANSIAS_HUMANQ	Chr01	97809488	97822996	0.0578	0.0804	1.3905
TRINITY_DN120827_c4_g1_i7	ID=Xetrov90000627mgName=yipf7]YIPF5_XENLAYIPF5_XENLAQ	Chr01	28520233	28538044	0.1116	0.1374	1.2313
TRINITY_DN120846_c5_g1_i11	ID=Xetrov90002318mgName=naa35]NAA35_CHICKNAA35_CHICKQ	Chr01	122534185	122561993	0.0161	0.023	1.4252
TRINITY_DN120848_c1_g1_i9	ID=Xetrov90002759mgName=pam-like]AMD_BOVINAMD_BOVINQ	Chr01	137311916	137396142	0.1022	0.1267	1.2399
TRINITY_DN120890_c6_g1_i1	ID=Xetrov90001399mgName=wrn]WRN_XENLAWRN_XENLAQ	Chr01	78544309	78598860	0.1264	0.2095	1.6568
TRINITY_DN120895_c0_g1_i1	ID=Xetrov90001127mgName=sec24d-like1]SC24D_HUMANSC24D_HUMANQ	Chr01	61127823	61164993	0.1135	0.1282	1.1298
TRINITY_DN120915_c2_g2_i1	ID=Xetrov90003620mgName=oxct1]SCOT1_HUMANSCOT1_HUMANQ	Chr01	182596273	182655319	0.0548	0.0778	1.4208
TRINITY_DN120926_c2_g2_i4	ID=Xetrov90002605mgName=ttc5]TTC5_BOVINTTC5_BOVINQ	Chr01	130450222	130458878	0.0581	0.08	1.3762
TRINITY_DN120960_c2_g3_i5	ID=Xetrov90002176mgName=snapc3]SNPC3_HUMANSNPC3_HUMANQ	Chr01	111742968	111770019	0.1085	0.198	1.8249
TRINITY_DN120964_c0_g2_i5	ID=Xetrov90000907mgName=pet112]GATB_MOUSEGATB_MOUSEQ	Chr01	46772336	46836931	0.0847	0.1353	1.5969
TRINITY_DN120966_c0_g1_i2	ID=Xetrov90002108mgName=slc44a1-like]CTL1_XENLACTL1_XENLAQ	Chr01	107969922	108024235	0.0502	0.0487	0.9716
TRINITY_DN121013_c7_g2_i1	ID=Xetrov90000494mgName=nsg1]NSG1_CHICKNSG1_CHICKQ	Chr01	18625008	18650810	0.0121	0.013	1.0753
TRINITY_DN121023_c5_g4_i5	ID=Xetrov90002936mgName=LOC100496882-like]GTR11_HUMANGTR11_HUMANQ	Chr01	144589475	144601132	0.1374	0.2168	1.5784
TRINITY_DN121077_c0_g1_i1	ID=Xetrov90002680mgName=ap1b1]AP1B1_HUMANAP1B1_HUMANQ	Chr01	132451489	132473828	0.0203	0.034	1.6733
TRINITY_DN121081_c7_g2_i6	ID=Xetrov90002045mgName=LOC100485344]PTGR1_CAVPOPTGR1_CAVPOQ	Chr01	103155831	103166547	0.071	0.1081	1.5212
TRINITY_DN121151_c0_g1_i3	ID=Xetrov90001023mgName=LOC100498452]ZDHC2_ARATHZDHC2_ARATHQ	Chr01	54941710	54950758	0.1035	0.1952	1.8853
TRINITY_DN121193_c1_g2_i1	ID=Xetrov90000390mgName=fgfr3]FGFR3_CHICKFGFR3_CHICKQ	Chr01	12768111	12837235	0.0754	0.099	1.3138
TRINITY_DN121209_c0_g1_i1	ID=Xetrov90002772mgName=ssh1-like]SSH1_HUMANSSH1_HUMANQ	Chr01	138007941	138054130	0.1042	0.1563	1.4998
TRINITY_DN121273_c6_g2_i4	ID=Xetrov90002640mgName=znf219]ZN219_HUMANZN219_HUMANQ	Chr01	131331485	131338065	0.0952	0.161	1.6912
TRINITY_DN121291_c0_g1_i2	ID=Xetrov90003684mgName=amacr]AMACR_HUMANAMACR_HUMANQ	Chr01	186342970	186356848	0.0967	0.1765	1.8258
TRINITY_DN121322_c1_g1_i1	ID=Xetrov90000779mgName=hpgd]PGDH_HUMANPGDH_HUMANQ	Chr01	39025088	39058705	0.0587	0.0581	0.9899
TRINITY_DN121350_c0_g1_i1	ID=Xetrov90002080mgName=cntln-like]CNTLN_HUMANCNTLN_HUMANQ	Chr01	105879950	106032780	0.1845	0.2181	1.1824
TRINITY_DN121374_c2_g1_i2	ID=Xetrov90002747mgName=pja2-like]PJA2_PONABPJA2_PONABQ	Chr01	135727530	135747744	0.121	0.2371	1.9597
TRINITY_DN121399_c0_g2_i1	ID=Xetrov90001733mgName=Xetrov90001733mg]UD2A1_HUMANUD2A1_HUMANQ	Chr01	88836859	88853942	0.0715	0.104	1.4536
TRINITY_DN121411_c1_g1_i4	ID=Xetrov90000801mgName=LOC100488348]CD027_HUMANCD027_HUMANQ	Chr01	40704275	40712113	0.0794	0.1526	1.9221
TRINITY_DN121438_c3_g1_i3	ID=Xetrov90001094mgName=casp6]CASP6_HUMANCASP6_HUMANQ	Chr01	59235302	59249004	0.1541	0.2537	1.6458
TRINITY_DN121541_c0_g1_i6	ID=Xetrov90001712mgName=ptpn13]PTN13_HUMANPTN13_HUMANQ	Chr01	88284804	88417820	0.1112	0.1702	1.5302
TRINITY_DN121557_c0_g1_i1	ID=Xetrov90001779mgName=mfhas1]MFHA1_XENTRMFHA1_XENTRQ	Chr01	91463462	91491665	0.0736	0.0954	1.2953
TRINITY_DN121670_c2_g1_i2	ID=Xetrov90000458mgName=fgfbp1]FGFP1_RATFGFP1_RATQ	Chr01	16917640	16921240	0.1614	0.2573	1.5944
TRINITY_DN121721_c1_g1_i2	ID=Xetrov90003840mgName=ube2r2]UB2R2_RABITUB2R2_RABITQ	Chr01	194680443	194705584	0.0011	0.0019	1.6573
TRINITY_DN121742_c0_g1_i1	ID=Xetrov90003192mgName=rph3a]RP3A_BOVINRP3A_BOVINQ	Chr01	155380339	155433929	0.0793	0.1124	1.4167
TRINITY_DN121764_c2_g1_i2	ID=Xetrov90002327mgName=fbp1]F16P1_PIGF16P1_PIGQ	Chr01	123235283	123242484	0.0529	0.0751	1.4194
TRINITY_DN121786_c4_g1_i1	ID=Xetrov90000780mgName=cep44]CEP44_XENLACEP44_XENLAQ	Chr01	39130121	39144373	0.1195	0.1963	1.6431
TRINITY_DN121807_c4_g4_i1	ID=Xetrov90000880mgName=fga]FIBA_CHICKFIBA_CHICKQ	Chr01	45273204	45283785	0.1878	0.3025	1.6103
TRINITY_DN121828_c3_g1_i1	ID=Xetrov90001245mgName=pkd2]PKD2_BOVINPKD2_BOVINQ	Chr01	69861488	69882226	0.0625	0.0992	1.5873
TRINITY_DN121843_c2_g1_i4	ID=Xetrov90003803mgName=pias2]PIAS2_HUMANPIAS2_HUMANQ	Chr01	193144450	193161684	0.0673	0.103	1.5307
