gid	gname	chr	start	end	logCPM	logFC.XY43.XX43	logFC.XY43.XYa43	logFC.XYa43.F43	logFC.M43.F43	PV.XY43.XX43	PV.XY43.XYa43	PV.XYa43.F43	PV.M43.F43	FDR.XY43.XX43	FDR.XY43.XYa43	FDR.XYa43.F43	FDR.M43.F43	Tv1_431	Tv1_432	Tv2_431	Tv3_431	Tv5_431	Tv5_432	Tv5_433	Tv5_434	Tv6_431	Tv6_432	Tv6_433
TRINITY_DN130491_c2_g1_i1	ID=Xetrov90001080mgName=ccdc109b]MCUB_HUMANMCUB_HUMANQ	Chr01	58289293	58289293	4.818729761	-0.491980227	-0.297775367	-0.19420486	-0.394877797	0.225375617	0.445085241	0.526808987	0.285696894	0.930818905	1	0.999972759	0.999992197	3.897390022	4.015388012	4.822260703	4.853509623	4.914052101	4.814924339	5.011989897	4.887044678	5.229802842	5.000024349	5.017860188
TRINITY_DN130515_c1_g1_i4	ID=Xetrov90003522mgName=rnf180]RN180_PONABRN180_PONABQ	Chr01	175588796	175588796	2.107056931	-0.25022823	-0.330578052	0.080349821	-0.290403141	0.607457179	0.484487992	0.828590091	0.513948393	0.999969	1	0.999972759	0.999992197	1.622294465	2.057931255	1.860263694	1.649048331	2.378742867	2.140968426	2.29898728	1.983259859	2.941623158	1.847090219	1.818368544
TRINITY_DN130536_c1_g3_i4	ID=Xetrov90000993mgName=ccrn4l]NOCT_XENLANOCT_XENLAQ	Chr01	51728403	51728403	4.702670921	0.148494093	0.314285989	-0.165791896	0.231390041	0.697972179	0.390916282	0.577339989	0.498733528	0.999969	1	0.999972759	0.999992197	4.454726304	4.794699449	5.015204622	4.987110124	5.285699092	4.39677678	4.237424876	4.293308945	4.626160777	4.448262338	4.787692115
TRINITY_DN130556_c6_g1_i4	ID=Xetrov90003679mgName=rad1]RAD1_PONABRAD1_PONABQ	Chr01	185991465	185991465	3.105915457	-0.536465253	-0.29136695	-0.245098303	-0.413916102	0.204771881	0.472846842	0.441389655	0.282958189	0.910901564	1	0.999972759	0.999992197	2.860222554	2.662200936	3.328435065	2.866794639	2.675894021	2.820982817	3.36615292	3.023857623	3.186280281	3.476793238	3.541090752
TRINITY_DN130557_c0_g1_i6	ID=Xetrov90003772mgName=ska1]SKA1_XENTRSKA1_XENTRQ	Chr01	191661376	191661376	1.506806708	-0.125041927	-0.061180581	-0.063861346	-0.093111254	0.824435003	0.910247325	0.882695042	0.855158822	0.999969	1	0.999972759	0.999992197	0.371897506	0.565419219	2.030999842	1.961732997	1.005710436	1.516686258	1.868365613	1.082012293	1.870075729	1.542356362	1.676867123
TRINITY_DN130559_c1_g1_i2	ID=Xetrov90003532mgName=ndufaf2-like]MIMIT_HUMANMIMIT_HUMANQ	Chr01	176548572	176548572	3.003239633	-0.265319275	-0.242156475	-0.0231628	-0.253737875	0.520397595	0.544091483	0.941370333	0.499753579	0.999969	1	0.999972759	0.999992197	2.803729466	2.805132567	3.286898506	2.786264228	3.069312929	2.971048874	3.238243597	2.666704186	3.326533293	2.906350976	2.995479469
TRINITY_DN130562_c5_g4_i1	ID=Xetrov90002722mgName=pggt1b]PGTB1_BOVINPGTB1_BOVINQ	Chr01	133986417	133986417	5.580268894	-0.162478474	-0.08386055	-0.078617924	-0.123169512	0.659120031	0.8132715	0.781203499	0.712072908	0.999969	1	0.999972759	0.999992197	5.827402894	5.544893845	5.419597445	5.416325988	5.474265365	5.725403603	5.716607139	5.622440269	5.134415586	5.638409081	5.733295675
TRINITY_DN130569_c6_g1_i1	ID=Xetrov90002215mgName=slc1a1]EAA3_RABITEAA3_RABITQ	Chr01	115136476	115136476	1.604795021	0.638122314	0.500761228	0.137361085	0.569441771	0.188095906	0.282649078	0.72158059	0.185064378	0.89057969	1	0.999972759	0.924295287	2.009600025	2.041523019	1.837427702	2.033265716	1.60451241	1.022457075	1.050204773	0.688120034	1.775335994	1.347002784	1.58081887
TRINITY_DN130599_c1_g1_i6	ID=Xetrov90002638mgName=LOC100495683]	Chr01	131225477	131225477	6.167876725	0.20962814	-0.055063396	0.264691536	0.077282372	0.62576641	0.895568218	0.431948818	0.842601362	0.999969	1	0.999972759	0.999992197	6.383647034	6.186254646	6.838859615	6.241078554	6.359524625	6.013685248	5.521236325	6.191062791	5.642953092	6.276670397	5.679819761
TRINITY_DN130615_c0_g1_i2	ID=Xetrov90001475mgName=sbno2]SBNO2_BOVINSBNO2_BOVINQ	Chr01	81314281	81314281	4.926234997	-0.047475544	0.101791274	-0.149266819	0.027157865	0.896906956	0.772208202	0.597512793	0.934392092	0.999969	1	0.999972759	0.999992197	4.769884459	4.714169044	4.501188421	5.158196457	5.286856354	5.025636632	4.769347303	5.038460673	4.859584786	4.621945713	5.214710416
TRINITY_DN130638_c3_g5_i1	ID=Xetrov90001456mgName=gamt]GAMT_XENTRGAMT_XENTRQ	Chr01	80577632	80577632	6.943344523	0.216683262	0.204153753	0.012529509	0.210418508	0.570833427	0.579674484	0.966519684	0.539524313	0.999969	1	0.999972759	0.999992197	6.949466893	7.115303264	7.097074105	7.109689243	6.690756467	6.975366538	6.917098304	6.825538018	6.656823786	6.892267233	7.059931633
TRINITY_DN130682_c0_g1_i3	ID=Xetrov90000490mgName=lyar]LYAR_HUMANLYAR_HUMANQ	Chr01	18580305	18580305	2.280545656	-0.632978305	-0.433207199	-0.199771107	-0.533092752	0.211245611	0.374216062	0.59810887	0.250032867	0.918381816	1	0.999972759	0.991864485	2.871260482	1.866278733	2.770558047	1.820600576	2.070093531	1.675053849	2.29898728	1.933855236	1.61436063	2.664004264	2.743770893
TRINITY_DN130703_c0_g1_i1	ID=Xetrov90003623mgName=c62]CO6_PONPYCO6_PONPYQ	Chr01	182876954	182876954	3.15298937	-1.112236994	-0.815762959	-0.296474036	-0.963999977	0.069880592	0.166122021	0.508322165	0.088818442	0.596788836	1	0.999972759	0.711517747	2.049018185	2.52729871	1.472736382	2.123439041	3.643212295	3.702042146	3.739754541	3.828128365	3.330241059	2.538772444	3.551263859
TRINITY_DN130710_c6_g1_i1	ID=Xetrov90003833mgName=Xetrov90003833mg]KIF24_HUMANKIF24_HUMANQ	Chr01	194558361	194558361	1.678364527	-0.209433244	-0.65263079	0.443197546	-0.431032017	0.649197164	0.149079597	0.206919467	0.309329213	0.999969	1	0.999972759	0.999992197	2.214173979	1.24762839	1.82587271	1.327252047	1.134713653	1.829021413	1.652240127	1.751972106	1.98743181	1.120991101	1.900240574
TRINITY_DN130728_c2_g1_i8	ID=Xetrov90002460mgName=LOC548369]IGHM_SUNMUIGHM_SUNMUQ	Chr01	128423635	128423635	6.458267478	-2.51815896	-0.767905605	-1.750253355	-1.643032282	0.000203187	0.199768116	0.000158701	0.006910151	0.016414339	1	0.029551798	0.169130426	4.70966358	5.530268243	4.528177149	3.55858598	7.276280593	6.154250248	6.388847127	6.297432615	5.564851242	7.836392851	7.611310036
TRINITY_DN130757_c4_g4_i3	ID=Xetrov90002212mgName=cdc37l1]CD37L_XENTRCD37L_XENTRQ	Chr01	115087659	115087659	3.014921855	-0.237626069	-0.038754675	-0.198871394	-0.138190372	0.547362342	0.918539982	0.509719319	0.698930665	0.999969	1	0.999972759	0.999992197	3.007559897	2.824442682	2.746244645	2.985764728	3.031150676	2.848950791	3.121464024	3.065742237	3.03999455	3.148490778	3.266402062
TRINITY_DN130759_c2_g1_i1	ID=Xetrov90002698mgName=tmem119]TM119_HUMANTM119_HUMANQ	Chr01	132881628	132881628	5.26609175	-0.39228355	-0.474415083	0.082131533	-0.433349316	0.399721981	0.295850679	0.817121553	0.310897037	0.999969	1	0.999972759	0.999992197	5.784257059	4.3611258	5.552607721	5.288161049	4.728908044	5.41051687	5.372910472	5.536512568	4.015790622	5.354242568	5.575277081
TRINITY_DN130762_c2_g1_i1	ID=Xetrov90000989mgName=rab33b]RB33B_HUMANRB33B_HUMANQ	Chr01	51662085	51662085	1.939274809	-0.510822132	-0.559735639	0.048913506	-0.535278885	0.24903455	0.193534788	0.882841848	0.188842276	0.952155224	1	0.999972759	0.929236697	1.817537311	1.601103639	2.128282577	1.383080255	1.83716815	1.926738204	2.290690156	1.983259859	2.298799723	1.929230354	1.86804713
TRINITY_DN130794_c3_g1_i6	ID=Xetrov90001678mgName=bsg]BASI_CHICKBASI_CHICKQ	Chr01	86570587	86570587	7.86774982	-0.004887316	0.004429976	-0.009317292	-0.00022867	0.989073047	0.989743367	0.97310037	0.999434143	0.999969	1	0.999972759	0.999992197	7.870461003	7.812039676	7.752930476	7.921808093	7.963194972	7.825873763	7.881391024	7.822398589	8.030819306	7.80274069	7.839091389
TRINITY_DN130808_c4_g1_i8	ID=Xetrov90003155mgName=atp2a2-like]AT2A2_CHICKAT2A2_CHICKQ	Chr01	154080668	154080668	7.868853286	-0.026685927	-0.071041271	0.044355345	-0.048863599	0.941256873	0.839480413	0.874291055	0.881605862	0.999969	1	0.999972759	0.999992197	7.970083679	7.720952759	7.743940924	7.924946079	7.86936327	7.993423478	7.810435061	8.074147134	7.664443955	7.912516122	7.818444258
TRINITY_DN130828_c2_g1_i2	ID=Xetrov90003775mgName=elac1]RNZ1_HUMANRNZ1_HUMANQ	Chr01	191702966	191702966	1.231302751	-1.109088485	-1.021242063	-0.087846422	-1.065165274	0.096403622	0.114743725	0.855833925	0.085836868	0.69898258	1	0.999972759	0.701140155	0.371897506	0.201878167	2.090153002	0.472175349	1.431139966	0.196720726	1.302122837	0.30857616	2.19688379	1.516016718	1.412458155
TRINITY_DN130840_c0_g1_i1	ID=Xetrov90003696mgName=sub1]TCP4_CHICKTCP4_CHICKQ	Chr01	187102751	187102751	6.563194451	-0.5599914	-0.239790628	-0.320200772	-0.399891014	0.184554085	0.551897862	0.314130436	0.297221122	0.883874262	1	0.999972759	0.999992197	6.547434395	6.106666643	6.601984361	6.354809973	6.448567162	6.394747247	7.187001296	6.774881982	5.923814787	6.585344296	6.849338779
TRINITY_DN130849_c2_g1_i1	ID=Xetrov90001460mgName=efna2]EFNA2_CHICKEFNA2_CHICKQ	Chr01	80820366	80820366	5.181806382	-0.178766546	-0.126474535	-0.052292011	-0.15262054	0.62037423	0.716565344	0.850364301	0.641186456	0.999969	1	0.999972759	0.999992197	5.155724651	4.859316463	5.022815427	5.232261387	5.108541202	5.43655519	5.389517167	5.426508421	4.773692669	5.203534523	5.230623293
TRINITY_DN130865_c6_g1_i5	ID=Xetrov90002691mgName=ddx54]DDX54_MOUSEDDX54_MOUSEQ	Chr01	132712923	132712923	5.462664213	-0.622349026	-0.639568398	0.017219373	-0.630958712	0.106670079	0.08837208	0.952729071	0.076081072	0.730481775	0.957423538	0.999972759	0.668279815	5.247535112	5.090234199	5.915595368	4.745838537	5.272907562	5.239351168	5.771302101	5.550511252	5.751326252	5.440800559	5.659978648
TRINITY_DN130865_c6_g2_i4	ID=Xetrov90002692mgName=LOC100491156-like]RITA1_XENLARITA1_XENLAQ	Chr01	132733297	132733297	2.468930626	-0.11522725	-0.132442922	0.017215672	-0.123835086	0.782292183	0.742440717	0.957135895	0.74342337	0.999969	1	0.999972759	0.999992197	2.467919204	2.241521552	2.313434684	2.479841268	2.454849737	2.442065364	2.239879645	2.636140367	2.604589564	2.551796269	2.652216244
TRINITY_DN130894_c1_g1_i2	ID=Xetrov90000728mgName=tlr3]TLR3_BOSTRTLR3_BOSTRQ	Chr01	34933601	34933601	1.057335076	0.573911379	0.49829571	0.075615669	0.536103544	0.347225009	0.395782555	0.875952231	0.322280514	0.999969	1	0.999972759	0.999992197	1.840184605	1.749909948	0.962530536	1.1238185	0.706903194	1.153825992	0.815899371	0.735024016	-0.842580519	1.376582832	0.632143143
TRINITY_DN130937_c9_g1_i8	ID=Xetrov90002406mgName=psme1]PSME1_MOUSEPSME1_MOUSEQ	Chr01	127231566	127231566	5.283714221	-0.99165382	-0.561804272	-0.429849549	-0.776729046	0.03729611	0.215164523	0.220551541	0.074883646	0.439736514	1	0.999972759	0.664641386	4.761010023	4.581426557	4.519236887	4.674919857	5.943596812	5.755267529	5.867186531	5.800440027	4.500163815	4.954165043	5.510275827
TRINITY_DN130943_c0_g1_i1	ID=Xetrov90003752mgName=poli]POLI_MOUSEPOLI_MOUSEQ	Chr01	190318197	190318197	2.311783237	-0.414990084	-0.015968051	-0.399022034	-0.215479068	0.471909176	0.976834118	0.360858165	0.679467082	0.999969	1	0.999972759	0.999992197	2.871260482	2.704503677	2.624806806	1.229118062	2.861325889	1.557937527	2.849399793	1.963700559	1.057114626	2.201304565	2.121198814
TRINITY_DN130965_c0_g1_i2	ID=Xetrov90002308mgName=idnk]GNTK_XENTRGNTK_XENTRQ	Chr01	121865844	121865844	0.571127095	-0.522991014	-0.702593233	0.179602219	-0.612792124	0.422910444	0.270339401	0.71186886	0.30920281	0.999969	1	0.999972759	0.999992197	0.021780573	0.141571169	1.572908755	-0.012774728	0.888630071	0.563716862	1.251720471	0.369301581	0.597242789	-0.410833836	-0.234985102
TRINITY_DN130992_c0_g2_i2	ID=Xetrov90000925mgName=prmt9]ANM9_XENLAANM9_XENLAQ	Chr01	48135580	48135580	3.273786192	-0.33754562	-0.158721914	-0.178823707	-0.248133767	0.393577999	0.67637884	0.552170358	0.489808187	0.999969	1	0.999972759	0.999992197	3.345003211	3.149386788	3.054183769	2.997735645	3.116940535	3.3572607	3.505314067	3.46054498	2.867010378	3.385173636	3.59125376
TRINITY_DN131018_c2_g1_i2	ID=Xetrov90000260mgName=exoc6b-like]EXC6B_MOUSEEXC6B_MOUSEQ	Chr01	8355256	8355256	2.706106093	-0.13935673	-0.151758826	0.012402096	-0.145557778	0.779014025	0.752086446	0.97408774	0.746879812	0.999969	1	0.999972759	0.999992197	3.168336188	2.640575135	3.244130529	2.53016278	2.232656538	1.862334512	2.440711977	2.068136338	2.825580701	2.985274204	3.075194502
TRINITY_DN131021_c3_g4_i2	ID=Xetrov90003842mgName=aqp3]AQP3_BOVINAQP3_BOVINQ	Chr01	194825698	194825698	6.370655286	0.176255288	0.120741995	0.055513293	0.148498642	0.712348712	0.793865377	0.881688419	0.729931104	0.999969	1	0.999972759	0.999992197	6.913211464	6.051400612	6.692250032	6.822672833	6.58088387	5.863426376	5.497099655	6.352051794	5.61738607	6.758232991	6.102766819
TRINITY_DN131044_c5_g2_i3	ID=Xetrov90001073mgName=ostc]OSTCB_XENLAOSTCB_XENLAQ	Chr01	57833383	57833383	5.861689195	-0.153794143	0.142282144	-0.296076287	-0.005755999	0.684097085	0.693115382	0.307487406	0.986482398	0.999969	1	0.999972759	0.999992197	5.823145914	5.621407791	5.47057619	6.071628286	5.880604872	5.804659143	6.198516996	5.965031907	5.480610773	5.935312935	6.036419457
TRINITY_DN131050_c2_g4_i2	ID=Xetrov90002225mgName=kiaa0020]PUM3_RATPUM3_RATQ	Chr01	115761863	115761863	5.057636129	-0.833416088	-0.59133205	-0.242084037	-0.712374069	0.024604855	0.097039058	0.379578682	0.036488661	0.343507096	0.984058381	0.999972759	0.461659394	4.942034595	4.444611264	5.234258222	4.475344487	4.814852894	4.917535911	5.469798844	5.020823916	5.11089753	5.178562051	5.585212777
TRINITY_DN131060_c0_g1_i1	ID=Xetrov90000959mgName=usp38]UBP38_HUMANUBP38_HUMANQ	Chr01	49976472	49976472	5.197221312	-0.373015898	-0.269724353	-0.103291545	-0.321370126	0.274552203	0.412706253	0.690883733	0.301594052	0.969356221	1	0.999972759	0.999992197	5.189188792	4.905381525	5.291036929	4.961361492	5.213290731	5.148875702	5.214164675	5.14758436	5.232777265	5.414304825	5.372202527
TRINITY_DN131066_c0_g1_i2	ID=Xetrov90003267mgName=LOC101733920]YD286_MOUSEYD286_MOUSEQ	Chr01	159564067	159564067	1.41895879	-0.437044892	-0.630270724	0.193225832	-0.533657808	0.408114021	0.221696393	0.626416041	0.272879273	0.999969	1	0.999972759	0.999992197	1.456297467	1.331002611	1.990172493	0.506094959	1.028028033	0.962275211	1.727936934	1.082012293	2.060680284	1.285958588	1.434609476
TRINITY_DN131098_c9_g1_i4	ID=Xetrov90001695mgName=ell]ELL_HUMANELL_HUMANQ	Chr01	87372118	87372118	4.172521023	-0.506617503	-0.515248817	0.008631313	-0.51093316	0.136885571	0.119235704	0.973232044	0.102406753	0.797296678	1	0.999972759	0.760127494	4.162938218	3.728144364	4.466261547	3.758267673	4.267225715	4.25973307	4.267331701	4.166445891	4.203361161	4.210274032	4.245783816
TRINITY_DN131124_c14_g1_i1	ID=Xetrov90001361mgName=smu1]SMU1_MOUSESMU1_MOUSEQ	Chr01	75505026	75505026	5.857560898	-0.424592397	-0.329875601	-0.094716796	-0.377233999	0.250043669	0.354614526	0.73549822	0.262990101	0.952197236	1	0.999972759	0.999972261	5.801670537	5.47482651	6.012432335	5.613974505	5.733036078	5.839230271	6.098679529	5.930814063	5.78075465	6.015061883	6.009001921
TRINITY_DN131189_c0_g3_i1	ID=Xetrov90002993mgName=mapk1]MK01_BOVINMK01_BOVINQ	Chr01	145564894	145564894	6.679682282	0.125411776	0.035210416	0.09020136	0.080311096	0.741904994	0.923965986	0.76109837	0.815257628	0.999969	1	0.999972759	0.999992197	6.739627372	6.814584593	6.545423787	6.66223462	6.64861668	6.801647263	6.41341547	6.860992424	6.549187253	6.745536074	6.632914273
TRINITY_DN131194_c1_g2_i6	ID=Xetrov90002273mgName=anxa1-like1]ANXA1_CAVCUANXA1_CAVCUQ	Chr01	118531296	118531296	9.536164478	0.252562993	0.076104158	0.176458835	0.164333576	0.422486725	0.803493272	0.474573568	0.56252076	0.999969	1	0.999972759	0.999992197	9.646184004	9.655300574	9.162193914	9.663101476	9.610936952	9.617941096	9.468897606	9.715151005	9.70491061	9.317882932	9.194827313
TRINITY_DN131209_c1_g1_i5	ID=Xetrov90002611mgName=slc12a6]S12A6_MOUSES12A6_MOUSEQ	Chr01	130549575	130549575	5.704709432	0.017757821	-0.120447964	0.138205785	-0.051345072	0.960173373	0.727555895	0.616572752	0.873600915	0.999969	1	0.999972759	0.999992197	5.71395562	5.560812585	5.794848125	5.743143521	5.787196246	5.690278011	5.654108088	5.799750739	5.870065299	5.547056229	5.54632479
TRINITY_DN131241_c0_g1_i11	ID=Xetrov90003419mgName=acot12]ACO12_MOUSEACO12_MOUSEQ	Chr01	167928424	167928424	2.935592236	0.206624713	0.432742093	-0.22611738	0.319683403	0.763657746	0.509311988	0.672654574	0.601235801	0.999969	1	0.999972759	0.999992197	2.51090064	3.231242251	3.248464832	3.160999294	3.717186648	1.488515206	1.544706444	0.846017089	3.82925081	3.392431607	2.394145825
TRINITY_DN131247_c2_g2_i3	ID=Xetrov90001763mgName=idua]IDUA_MOUSEIDUA_MOUSEQ	Chr01	90466017	90466017	2.988825401	0.066826056	0.148272218	-0.081446162	0.107549137	0.874212683	0.714893276	0.803282345	0.776950029	0.999969	1	0.999972759	0.999992197	2.70847067	3.141709838	2.618123175	3.015507811	3.101238723	2.792461921	3.358234258	3.150363135	3.26974201	2.512366682	2.942357987
TRINITY_DN131272_c6_g1_i1	ID=Xetrov90001063mgName=exosc9]EXOS9_BOVINEXOS9_BOVINQ	Chr01	57467351	57467351	3.335751903	-0.736475776	-0.518554769	-0.217921008	-0.627515272	0.06913407	0.183473086	0.470059688	0.091322606	0.594190254	1	0.999972759	0.722769359	3.104288861	2.795379714	3.603460288	2.83378483	3.122136724	3.403255801	3.628937623	3.446521865	2.998653898	3.530412689	3.818827301
TRINITY_DN131334_c0_g2_i12	ID=Xetrov90000820mgName=LOC100488610]TRI59_HUMANTRI59_HUMANQ	Chr01	41360546	41360546	4.660457607	-0.670050457	-0.717786159	0.047735702	-0.693918308	0.098329112	0.069296613	0.875362478	0.063991201	0.70345951	0.870741084	0.999972759	0.62020973	4.543655152	4.207809376	5.226589279	3.917978554	4.526289114	4.213151353	4.782721104	4.316625033	5.269931915	4.959061562	4.647740618
TRINITY_DN131347_c0_g1_i1	ID=Xetrov90000849mgName=ppid]PPID_BOVINPPID_BOVINQ	Chr01	43711990	43711990	6.329421706	-0.536385934	-0.306827515	-0.229558419	-0.421606724	0.233638574	0.477627632	0.499618228	0.304340862	0.938486552	1	0.999972759	0.999992197	6.560279719	5.822064637	6.609585611	6.127856882	5.96977355	6.356778476	6.570311965	6.304738594	5.255379704	6.668410033	6.747947892
TRINITY_DN131436_c0_g1_i5	ID=Xetrov90000656mgName=ociad2]OCAD2_BOVINOCAD2_BOVINQ	Chr01	30009371	30009371	4.512764241	-0.505331995	-0.506919997	0.001588002	-0.506125996	0.155924988	0.142591586	0.99529478	0.121715398	0.83666814	1	0.999972759	0.81093336	4.308096159	3.901809047	4.915156075	4.251179712	4.439456347	4.486753269	4.797436913	4.588139921	4.595678059	4.60016991	4.503258474
TRINITY_DN131445_c0_g1_i3	ID=Xetrov90001565mgName=ap3d1]AP3D1_MOUSEAP3D1_MOUSEQ	Chr01	83761922	83761922	4.607602076	0.079620498	0.038323893	0.041296605	0.058972196	0.816866976	0.908198325	0.877126695	0.849254472	0.999969	1	0.999972759	0.999992197	4.904918289	4.661454867	4.72141137	4.644785505	4.403631838	4.581483139	4.444198224	4.306955749	4.493565618	4.77971876	4.638227739
TRINITY_DN131460_c0_g3_i1	ID=Xetrov90001481mgName=arid3a]ARI3A_XENLAARI3A_XENLAQ	Chr01	81529718	81529718	0.357331225	-0.81018661	-0.429891381	-0.380295229	-0.620038996	0.152418166	0.430109254	0.357557521	0.232521623	0.831962794	1	0.999972759	0.974815009	0.172165523	0.012823062	0.272020815	-0.275475503	0.56147941	0.264741357	0.669997841	0.589473514	-0.0050431	-0.054437293	1.116141367
TRINITY_DN131478_c2_g2_i3	ID=Xetrov90003498mgName=slc30a5]ZNT5_XENTRZNT5_XENTRQ	Chr01	173689269	173689269	4.22990083	-0.593090278	-0.239507268	-0.35358301	-0.416298773	0.105035298	0.492863405	0.198377296	0.2107484	0.726315574	1	0.999972759	0.950801454	4.112665659	3.654528479	3.796377999	4.089989724	4.243580073	4.373859013	4.4609333	4.399031258	3.850061732	4.532798114	4.657191182
TRINITY_DN131491_c7_g1_i1	ID=Xetrov90002365mgName=LOC100486090]NXNL2_MOUSENXNL2_MOUSEQ	Chr01	125390996	125390996	1.236050626	0.883723249	0.727850858	0.155872391	0.805787054	0.068330138	0.116933786	0.688758934	0.058405272	0.591719667	1	0.999972759	0.592723967	1.268687016	1.828522539	1.19587028	1.847309324	1.589584518	0.856033007	0.838843694	0.968834815	1.303342339	0.8943647	0.237791805
TRINITY_DN131498_c0_g1_i7	ID=Xetrov90001241mgName=rufy3]RUFY3_HUMANRUFY3_HUMANQ	Chr01	69610566	69610566	5.688792534	0.216160668	0.090965352	0.125195316	0.15356301	0.556195012	0.798302547	0.662876992	0.642540117	0.999969	1	0.999972759	0.999992197	5.522449647	5.868152518	6.027643054	5.74225436	5.828311898	5.61897734	5.51501734	5.474806996	5.855344454	5.370872726	5.608539383
TRINITY_DN131617_c3_g1_i4	ID=Xetrov90003113mgName=denr]DENR_XENLADENR_XENLAQ	Chr01	152957959	152957959	6.33247334	-0.452516378	-0.240478437	-0.212037942	-0.346497408	0.26834979	0.53994487	0.493836099	0.351551152	0.964808153	1	0.999972759	0.999992197	6.294207719	5.961594375	6.700578202	6.133293239	6.183685136	6.308245446	6.751646145	6.226372264	5.774644693	6.405117642	6.605717099
TRINITY_DN131623_c2_g2_i4	ID=Xetrov90000915mgName=rps3a]RS3A_XENTRRS3A_XENTRQ	Chr01	47125192	47125192	10.9339273	-0.044058481	0.089556961	-0.133615442	0.02274924	0.868731004	0.726446055	0.516221898	0.924514465	0.999969	1	0.999972759	0.999992197	10.84748319	10.94703598	10.82981911	10.96752833	10.90802116	11.00207054	11.16243778	11.05873365	10.54732142	10.90318097	11.0162054
TRINITY_DN131629_c3_g1_i10	ID=Xetrov90002281mgName=nmrk1]NRK1_RATNRK1_RATQ	Chr01	119248563	119248563	0.95420205	0.595690521	0.486641465	0.109049055	0.541165993	0.220592844	0.29687097	0.777637582	0.209572135	0.926356465	1	0.999972759	0.950801454	0.844762756	1.159138791	0.875536399	1.538666283	0.83900124	1.117496589	0.969337039	1.117847532	0.385483759	0.62538177	0.669981179
TRINITY_DN131655_c4_g1_i1	ID=Xetrov90001996mgName=plvap]PLVAP_MOUSEPLVAP_MOUSEQ	Chr01	101384230	101384230	3.379804898	-0.21436891	-0.204951865	-0.009417045	-0.209660387	0.57524702	0.579597828	0.974357094	0.546840773	0.999969	1	0.999972759	0.999992197	3.437021464	3.004534185	3.457593357	3.382604673	3.246307526	3.309750785	3.334214101	3.706898534	3.071348876	3.483605669	3.596175449
TRINITY_DN131668_c1_g2_i8	ID=Xetrov90001181mgName=LOC101731251-like]NLRC3_HUMANNLRC3_HUMANQ	Chr01	64399148	64399148	1.011052431	0.144213648	0.091669885	0.052543763	0.117941766	0.804337334	0.870372233	0.907242524	0.822118364	0.999969	1	0.999972759	0.999992197	1.052980215	1.70893667	0.051644429	0.080230401	0.591760535	1.415582669	1.397933947	1.300453756	0.886296831	0.810155518	0.91024012
TRINITY_DN131669_c0_g1_i3	ID=Xetrov90002407mgName=fitm1]FITM1_HUMANFITM1_HUMANQ	Chr01	127250815	127250815	2.836159984	0.620357691	0.610978119	0.009379572	0.615667905	0.152655096	0.141812638	0.978237951	0.108182412	0.832206483	1	0.999972759	0.775051078	3.07594499	3.382213375	3.019098918	3.243746873	2.361270808	2.786689453	2.910240154	2.437766987	1.958975568	2.865208928	2.594358128
TRINITY_DN131674_c6_g1_i1	ID=Xetrov90000351mgName=mfsd10-like]MFS10_MOUSEMFS10_MOUSEQ	Chr01	11600662	11600662	1.492164949	0.154854852	0.426018703	-0.271163851	0.290436778	0.789733342	0.44249748	0.549335807	0.574792952	0.999969	1	0.999972759	0.999992197	2.298365111	1.578534974	1.282957755	1.860480535	1.234050324	0.196720726	1.163594309	1.448518361	0.385483759	1.667290543	2.065505703
TRINITY_DN131698_c2_g1_i1	ID=Xetrov90003391mgName=Xetrov90003391mg]BDP1_HUMANBDP1_HUMANQ	Chr01	167176402	167176402	2.425868759	-0.196597268	-0.158381534	-0.038215734	-0.177489401	0.650094872	0.705108997	0.908169995	0.652135502	0.999969	1	0.999972759	0.999992197	2.14309444	2.227083797	2.782562799	2.336380674	2.487427689	2.427300708	2.838056875	2.409130119	2.350834257	2.044286352	2.416577919
TRINITY_DN131705_c1_g1_i4	ID=Xetrov90002917mgName=smpd4]NSMA3_XENLANSMA3_XENLAQ	Chr01	144232941	144232941	4.793632992	-0.674621429	-0.617753573	-0.056867855	-0.646187501	0.056029822	0.071106938	0.829829146	0.046869261	0.543390927	0.880324843	0.999972759	0.53058424	4.861296404	4.441488046	4.879271623	4.030051303	4.716937462	4.836038826	5.185362532	4.834169664	4.914953976	4.700066148	5.025177675
TRINITY_DN131750_c1_g1_i2	ID=Xetrov90001338mgName=LOC100485264]CA1AB_XENLACA1AB_XENLAQ	Chr01	74917183	74917183	5.247838379	-1.229857568	-1.060200462	-0.169657107	-1.145029015	0.003969798	0.010261888	0.585231276	0.003928313	0.105157807	0.351071445	0.999972759	0.116252354	4.888714255	4.279524032	5.969756562	4.246170651	4.898994798	5.026861407	5.806646366	5.14758436	5.300494562	5.363505201	5.722082647
TRINITY_DN131804_c2_g2_i1	ID=Xetrov90001260mgName=rchy1]ZN363_HUMANZN363_HUMANQ	Chr01	70186402	70186402	2.575461705	-0.143195738	0.001252263	-0.144448001	-0.070971737	0.731525144	0.99750435	0.652001413	0.850726282	0.999969	1	0.999972759	0.999992197	2.70847067	2.417140107	2.447658269	2.618093549	2.495458515	2.513703728	2.323596131	2.401881195	2.522704008	2.854737442	2.911100906
