gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	logFC.XY46.XXm46	logFC.XXm46.XX46	logFC.XXM.XXF	PV.XY46.XX46	PV.XY46.XXm46	PV.XXm46.XX46	PV.XXM.XXF	FDR.XY46.XX46	FDR.XY46.XXm46	FDR.XXm46.XX46	FDR.XXM.XXF	Tv1_462	Tv1_463	Tv2_461	Tv2_462	Tv2_464	Tv5_461	Tv6_461
TRINITY_DN132062_c0_g2_i5	ID=Xetrov90002711mgName=slc8b1]NCKX6_HUMANNCKX6_HUMANQ	Chr01	133793754	133793754	3.500115389	-0.67520023	0.275799292	-0.950999522	-0.813099876	0.058936431	0.592044549	0.07518837	0.024447906	0.109012351	1	0.178128909	0.054325114	3.798457813	2.824076973	3.113091757	2.926640581	3.568158432	3.60717647	4.158644976
TRINITY_DN132065_c2_g1_i2	ID=Xetrov90000640mgName=commd8]COMD8_HUMANCOMD8_HUMANQ	Chr01	29313103	29313103	3.800479103	-0.489424756	0.111685745	-0.601110501	-0.545267628	0.127502966	0.807314452	0.200971363	0.09124492	0.198749786	1	0.345131318	0.152673808	3.906475205	3.74732624	3.324050115	3.47217133	3.649531909	4.211854902	4.078353159
TRINITY_DN132069_c0_g1_i3	ID=Xetrov90003516mgName=cenpk]CENPK_XENLACENPK_XENLAQ	Chr01	175050370	175050370	2.831683601	-1.268644655	0.092282444	-1.360927099	-1.314785877	0.001296072	0.868847964	0.022911694	0.00103598	0.004934009	1	0.078467902	0.004125131	2.954279102	2.515712082	1.825157366	2.069711229	2.064120104	3.656890754	3.553867735
TRINITY_DN132073_c3_g1_i1	ID=Xetrov90001587mgName=mpv17l2]M17L2_XENTRM17L2_XENTRQ	Chr01	84893054	84893054	4.178314484	-1.090059787	0.02186986	-1.111929647	-1.100994717	0.000545888	0.960718632	0.018599996	0.000562563	0.002352248	1	0.067813725	0.002437174	4.566816914	3.914482947	3.609670537	3.590379471	3.232335788	4.908033251	4.596955211
TRINITY_DN132083_c4_g1_i2	ID=Xetrov90002596mgName=sdr39u1]D39U1_BOVIND39U1_BOVINQ	Chr01	130287439	130287439	4.211832855	-1.557715161	-0.022710445	-1.535004716	-1.546359938	8.76E-06	0.962812687	0.004025468	1.51E-05	5.70E-05	1	0.021539237	9.65E-05	4.810042143	3.911047634	3.010119379	3.360144612	2.860115223	5.091868245	4.74582784
TRINITY_DN132109_c4_g1_i1	ID=Xetrov90002840mgName=dgcr6]DGCR6_CHICKDGCR6_CHICKQ	Chr01	141996554	141996554	3.234784595	-3.42945582	0.171333659	-3.600789479	-3.51512265	1.23E-17	0.75638604	3.43E-08	2.58E-16	3.50E-16	1	1.05E-06	7.68E-15	4.154880787	0.767313369	0.500548809	0.723703	1.309940577	4.444792917	4.238144665
TRINITY_DN132114_c3_g3_i1	ID=Xetrov90001698mgName=uba52]RL40_SHEEPRL40_SHEEPQ	Chr01	87493842	87493842	8.929097058	0.672090157	0.447314388	0.224775769	0.448432963	0.088804368	0.433564434	0.682263847	0.253807099	0.150066947	1	0.783979071	0.343444734	8.41216329	9.516172114	9.209874764	8.799575849	8.960655385	8.703100418	8.594360495
TRINITY_DN132142_c2_g1_i2	ID=Xetrov90001255mgName=g3bp2]G3BP2_MOUSEG3BP2_MOUSEQ	Chr01	70058310	70058310	2.019548537	-1.067317429	0.101671704	-1.168989133	-1.118153281	0.006984179	0.857575927	0.049518416	0.005239069	0.020207069	1	0.134433752	0.015876661	2.811653853	1.528866083	1.25939658	1.377951931	1.629987046	2.384622178	2.35369305
TRINITY_DN132225_c1_g2_i3	ID=Xetrov90002511mgName=dad1]DAD1_XENLADAD1_XENLAQ	Chr01	128944809	128944809	6.757112545	0.627719262	0.276428276	0.351290986	0.489505124	0.030399597	0.505572261	0.380682925	0.090046263	0.065056279	1	0.532194247	0.151154736	6.46645056	7.217016647	7.103317791	6.76024486	6.749023078	6.458400472	6.296263719
TRINITY_DN132293_c6_g1_i2	ID=Xetrov90003124mgName=vps33a]VP33A_HUMANVP33A_HUMANQ	Chr01	153248054	153248054	5.138151609	-1.729251007	-0.069937265	-1.659313742	-1.694282375	2.85E-09	0.861626616	0.000192246	1.26E-08	3.23E-08	1	0.00185159	1.38E-07	5.448727365	4.058068563	3.962727286	4.20949272	4.368991634	6.133968898	5.93249377
TRINITY_DN132336_c3_g2_i5	ID=Xetrov90002681mgName=rasl10a]RSLAA_HUMANRSLAA_HUMANQ	Chr01	132478193	132478193	0.25127976	1.137834932	-0.459002393	1.596837325	1.367336129	0.025280946	0.497977696	0.015362868	0.006781274	0.056300756	1	0.059031641	0.019582939	-0.180227377	-0.022054812	0.522094618	0.983418421	0.953056683	-0.997146211	-0.55229145
TRINITY_DN132345_c3_g1_i2	ID=Xetrov90000808mgName=sh3rf1]SH3R1_XENTRSH3R1_XENTRQ	Chr01	40862906	40862906	3.790295454	-3.105026232	-0.406479441	-2.698546791	-2.901786511	6.08E-19	0.377054253	6.31E-07	1.37E-15	1.95E-17	1	1.35E-05	3.72E-14	4.716508493	1.564288565	1.925582176	2.099921854	1.560817986	4.867433851	4.765042767
TRINITY_DN132348_c1_g1_i1	ID=Xetrov90002251mgName=pip5k1b-like]PI51B_HUMANPI51B_HUMANQ	Chr01	116999068	116999068	4.038403616	1.177634547	0.075589305	1.102045242	1.139839895	0.000143068	0.861376454	0.00715954	0.000215938	0.000723054	1	0.033657168	0.001052358	3.33845431	4.326548901	4.473280307	4.370985478	4.531465895	3.359463276	3.107492742
TRINITY_DN132380_c0_g1_i11	ID=Xetrov90002267mgName=gda-like]GUAD_PONABGUAD_PONABQ	Chr01	118247834	118247834	3.500471974	1.743045634	0.145970885	1.597074749	1.670060191	0.000128125	0.816441952	0.006131568	0.000220043	0.000655879	1	0.029758691	0.001070151	3.117903862	4.37473107	4.069014782	3.898932146	3.581315954	1.543464506	1.727955039
TRINITY_DN132393_c1_g1_i1	ID=Xetrov90002149mgName=lingo2]LIGO2_HUMANLIGO2_HUMANQ	Chr01	110621695	110621695	2.521871838	-1.547321719	-0.114612117	-1.432709602	-1.490015661	0.003826034	0.877191202	0.07664827	0.00615929	0.012337057	1	0.180354572	0.018099085	3.283603798	0.736590786	1.669741915	1.764901922	2.19542325	3.82070744	1.766601916
TRINITY_DN132428_c2_g1_i4	ID=Xetrov90000472mgName=rab28]RAB28_MOUSERAB28_MOUSEQ	Chr01	17543756	17543756	2.791837653	-0.20041034	-0.256904776	0.056494436	-0.071957952	0.654358338	0.680792281	0.928574283	0.872158374	0.725953491	1	0.955942549	0.903522335	3.594245322	2.542601964	2.805696632	2.92101096	2.634655914	2.618392038	1.867833761
TRINITY_DN132436_c1_g2_i1	ID=Xetrov90003109mgName=vps37b]VP37B_HUMANVP37B_HUMANQ	Chr01	152844919	152844919	4.707947652	-0.96245556	-0.205893225	-0.756562334	-0.859508947	0.00098937	0.612295524	0.077587074	0.003469344	0.003922555	1	0.181752952	0.011366236	4.70820186	3.951741156	4.260639253	4.399604467	4.340900196	5.295490578	5.373149297
TRINITY_DN132510_c1_g1_i3	ID=Xetrov90002397mgName=ipo4]IPO4_HUMANIPO4_HUMANQ	Chr01	127068415	127068415	5.073095079	-1.110992899	-0.112404692	-0.998588207	-1.054790553	2.94E-05	0.761774816	0.011511649	8.61E-05	0.000172742	1	0.047798288	0.000468939	5.478337634	4.665162196	4.460782878	4.592560989	4.291051794	5.612001387	5.671829359
TRINITY_DN132532_c3_g3_i2	ID=Xetrov90001886mgName=zbtb5]ZBTB5_HUMANZBTB5_HUMANQ	Chr01	96937185	96937185	3.829776241	-0.796052549	0.033321569	-0.829374118	-0.812713334	0.011834854	0.940693216	0.076209219	0.010799249	0.030866462	1	0.179728268	0.028452673	4.224485754	3.272586584	3.416112547	3.405198078	3.607276386	4.11557673	4.345755883
TRINITY_DN132557_c6_g2_i1	ID=Xetrov90003370mgName=nsa2]NSA2_HUMANNSA2_HUMANQ	Chr01	165779322	165779322	8.290265324	0.495559113	0.416123693	0.07943542	0.287497267	0.16105589	0.415865525	0.872916275	0.414597158	0.239350611	1	0.920137523	0.506929544	8.021392633	8.366930481	8.542296362	8.12639113	8.699056117	7.987881146	8.127903965
TRINITY_DN132587_c1_g6_i1	ID=Xetrov90003800mgName=hdhd2]HDHD2_BOVINHDHD2_BOVINQ	Chr01	193087310	193087310	1.729972034	0.258262053	-0.004572147	0.2628342	0.260548127	0.575360668	0.994402068	0.682639162	0.571193211	0.656549377	1	0.784308352	0.652345398	2.097195698	1.163529784	1.79891957	1.838419146	2.315766717	1.057834661	1.387126133
TRINITY_DN132601_c2_g1_i5	ID=Xetrov90003471mgName=LOC101734044]ARSK_XENLAARSK_XENLAQ	Chr01	172561627	172561627	2.141265589	0.059672176	-0.64788646	0.707558636	0.383615406	0.893479064	0.286183082	0.241846157	0.386936018	0.920457127	1	0.391038486	0.480165265	1.546110055	2.506636246	1.610631296	2.695577777	1.905779866	2.60831914	1.551072591
TRINITY_DN132691_c0_g2_i3	ID=Xetrov90003751mgName=LOC100496774]STAR6_HUMANSTAR6_HUMANQ	Chr01	190306797	190306797	0.16486584	1.059835572	-0.14990689	1.209742462	1.134789017	0.033897952	0.825737177	0.067178305	0.022184588	0.070789963	1	0.164850374	0.050369901	-0.354878308	0.939059211	-0.112241567	0.643930107	0.5148543	-0.528549765	-0.650707472
TRINITY_DN132754_c6_g2_i2	ID=Xetrov90000953mgName=otud4-like1]OTUD4_HUMANOTUD4_HUMANQ	Chr01	49682000	49682000	3.391222061	-0.394419349	-0.034170941	-0.360248408	-0.377333878	0.249907163	0.943805119	0.466217128	0.272091436	0.339213874	1	0.609354268	0.362860441	3.481790606	3.071857713	2.979296385	3.238680982	3.509713719	3.579085328	3.720619144
TRINITY_DN132765_c11_g2_i3	ID=Xetrov90001731mgName=hpse]HPSE_HUMANHPSE_HUMANQ	Chr01	88798881	88798881	3.170353135	-2.218485435	-0.033004501	-2.185480934	-2.201983185	2.52E-08	0.952042795	0.00042109	8.54E-08	2.48E-07	1	0.003511266	8.19E-07	3.594245322	1.760296405	1.630605148	1.850315874	2.038907672	3.818524686	4.491310716
TRINITY_DN132783_c0_g2_i1	ID=Xetrov90003110mgName=hip1r]HIP1R_HUMANHIP1R_HUMANQ	Chr01	152862784	152862784	5.695204428	-0.633875495	-0.039526981	-0.594348513	-0.614112004	0.01270097	0.912115173	0.109529026	0.016321634	0.032678788	1	0.22928768	0.03950971	5.966185696	5.406232637	5.238471417	5.42392111	5.497806687	6.019860679	6.06533864
TRINITY_DN132793_c0_g1_i2	ID=Xetrov90001365mgName=ikbkap]ELP1_HUMANELP1_HUMANQ	Chr01	75561155	75561155	5.348363648	-1.443711057	0.131281154	-1.574992211	-1.509351634	2.98E-08	0.71987619	8.03E-05	1.43E-08	2.90E-07	1	0.000890318	1.56E-07	5.975444596	4.650816295	4.502026729	4.431631471	4.531465895	5.879288064	6.145879972
TRINITY_DN132820_c4_g1_i1	ID=Xetrov90001248mgName=ibsp]ExpAA=7138PredHel=2Topology=i2-21o26-48i	Chr01	69940438	69940438	3.805925911	0.983924473	-0.832276872	1.816201345	1.400062909	0.011406912	0.10929674	0.000300691	0.000329633	0.029977704	1	0.002665126	0.00152567	3.50754898	3.755011194	3.860721897	4.789235613	4.219920976	3.007536895	2.089807568
TRINITY_DN132825_c4_g1_i2	ID=Xetrov90001562mgName=dot1l]DOT1L_HUMANDOT1L_HUMANQ	Chr01	83649989	83649989	2.848017288	-2.224955742	-0.193953148	-2.031002594	-2.127979168	4.94E-08	0.728298735	0.001201971	3.71E-07	4.65E-07	1	0.008288347	3.19E-06	3.834521778	1.231210229	1.233508817	1.674111079	1.891765669	3.240591922	3.902976453
TRINITY_DN132922_c0_g3_i1	ID=Xetrov90003082mgName=dnah10]DYH10_HUMANDYH10_HUMANQ	Chr01	152202210	152202210	4.221424794	-0.724212896	-0.613079852	-0.111133044	-0.41767297	0.040728065	0.203878707	0.824270015	0.237367842	0.081495326	1	0.888520393	0.325777837	4.637054397	3.195613031	4.213411545	4.395550635	3.761659069	4.794902412	3.958280926
TRINITY_DN132926_c3_g1_i3	ID=Xetrov90002633mgName=mettl17]MET17_BOVINMET17_BOVINQ	Chr01	131000181	131000181	4.578687569	-1.808018765	0.125153586	-1.933172351	-1.870595558	1.81E-09	0.765613119	3.51E-05	1.52E-09	2.11E-08	1	0.000445255	1.94E-08	5.247519183	3.847770729	3.424717789	3.413240574	3.281533392	5.176113986	5.569670197
TRINITY_DN132953_c2_g4_i1	ID=Xetrov90002882mgName=limk2]LIMK2_HUMANLIMK2_HUMANQ	Chr01	143496064	143496064	4.457097087	-2.108863318	0.084600931	-2.193464249	-2.151163783	6.04E-12	0.841951012	4.89E-06	1.24E-11	9.54E-11	1	8.25E-05	2.11E-10	4.881965834	3.096263128	3.192502011	3.106043073	3.276149111	5.454347551	5.468539826
TRINITY_DN132965_c2_g2_i2	ID=Xetrov90001756mgName=rbpms]RBPMS_HUMANRBPMS_HUMANQ	Chr01	90124737	90124737	2.026343772	0.745130641	-0.374814734	1.119945375	0.932538008	0.106278991	0.553502281	0.067676729	0.042468173	0.172465499	1	0.165754529	0.08382413	1.30302639	2.895349545	1.610631296	2.600166738	1.848887288	1.938668969	1.099904221
TRINITY_DN132972_c0_g3_i1	ID=Xetrov90000642mgName=corin-like]CORIN_HUMANCORIN_HUMANQ	Chr01	29391953	29391953	3.531496335	0.395894274	0.258577555	0.13731672	0.266605497	0.270662859	0.616053246	0.785470318	0.457425281	0.361214229	1	0.861353871	0.547698635	3.766811679	3.98152531	3.713984846	3.468316626	3.429529229	3.125237518	2.977620249
TRINITY_DN133026_c0_g1_i5	ID=Xetrov90001463mgName=midn]MIDN_XENTRMIDN_XENTRQ	Chr01	81072619	81072619	4.036694977	-1.361884272	-0.257985506	-1.103898766	-1.232891519	1.87E-05	0.556595312	0.019572758	0.000124927	0.000114396	1	0.070394615	0.000652837	4.723394339	3.178570481	3.055153234	3.528789073	3.541477828	4.533965266	4.6248322
TRINITY_DN133026_c1_g1_i3	ID=Xetrov90000836mgName=naf1]NAF1_RATNAF1_RATQ	Chr01	42692844	42692844	4.419402926	-2.802343212	-0.057544384	-2.744798828	-2.77357102	6.67E-20	0.889501145	1.51E-08	6.21E-18	2.39E-18	1	5.02E-07	2.22E-16	5.348068336	2.542601964	2.562259287	2.648660852	2.667928713	5.15550925	5.611405882
TRINITY_DN133040_c0_g1_i1	ID=Xetrov90001345mgName=ebi3]IL27B_HUMANIL27B_HUMANQ	Chr01	75192396	75192396	1.249894491	0.073438556	-0.480625916	0.554064472	0.313751514	0.883701798	0.486314083	0.419294426	0.529520748	0.91328599	1	0.567700169	0.614900945	0.30423405	1.068047921	0.702765803	1.674111079	1.679770953	1.786176279	0.905809174
TRINITY_DN133070_c6_g4_i3	ID=Xetrov90001308mgName=mfsd12]MFS12_MOUSEMFS12_MOUSEQ	Chr01	74074214	74074214	5.039677267	-2.722061377	0.046405306	-2.768466683	-2.74526403	2.13E-21	0.904783253	1.21E-09	7.65E-20	8.60E-20	1	5.29E-08	3.34E-18	5.867689736	3.350741099	3.080788105	3.234148034	3.39517142	5.948294183	6.156832593
TRINITY_DN133111_c0_g1_i10	ID=Xetrov90000495mgName=stx18]STX18_RATSTX18_RATQ	Chr01	18652963	18652963	3.763632506	-0.608572427	0.16865439	-0.777226817	-0.692899622	0.056824793	0.712163148	0.100034472	0.031446677	0.105982796	1	0.215552212	0.066297608	4.222542945	3.566990561	3.516135179	3.322206595	3.380192417	3.878427043	4.165891714
TRINITY_DN133124_c1_g1_i1	ID=Xetrov90002259mgName=smc5-like]SMC5_XENLASMC5_XENLAQ	Chr01	117540507	117540507	4.650478777	-1.131804943	0.369078861	-1.500883804	-1.316344373	4.64E-05	0.355858465	0.000447263	3.52E-06	0.00026126	1	0.003694646	2.54E-05	5.142519493	4.202765935	4.001592167	3.719226001	4.050502796	5.030956866	5.444159784
TRINITY_DN133139_c1_g1_i2	ID=Xetrov90002041mgName=ltb4dh]PTGR1_CAVPOPTGR1_CAVPOQ	Chr01	103075036	103075036	6.36370493	0.287098148	0.684250378	-0.39715223	-0.055027041	0.429368922	0.201331753	0.450189485	0.879595311	0.521829986	1	0.595451569	0.909174941	6.207766887	7.267589228	6.301167596	5.882872573	5.6851733	6.224540292	6.3990062
TRINITY_DN133159_c5_g1_i3	ID=Xetrov90001315mgName=atcay]ATCAY_RATATCAY_RATQ	Chr01	74285295	74285295	2.001358355	0.820090202	-0.503823298	1.3239135	1.072001851	0.056997739	0.389018791	0.019550812	0.012568547	0.106225431	1	0.070329996	0.032083515	1.630585468	1.455300066	2.281921831	2.695577777	2.617727255	1.115868268	1.37467074
TRINITY_DN133210_c0_g1_i6	ID=Xetrov90001016mgName=c4orf29]ABD18_MOUSEABD18_MOUSEQ	Chr01	54793723	54793723	3.740933402	-1.196713569	-0.151634404	-1.045079165	-1.120896367	0.000906806	0.762536768	0.051413504	0.002096355	0.003641543	1	0.137657865	0.007489374	4.121907334	3.467598499	3.185767682	3.243199731	2.436526027	4.398781593	4.318377294
TRINITY_DN133315_c0_g1_i1	ID=Xetrov90001017mgName=mfsd8]MFSD8_XENLAMFSD8_XENLAQ	Chr01	54814496	54814496	3.644339038	-1.149841525	0.624877926	-1.774719451	-1.462280488	0.000572459	0.202393422	0.00070781	2.08E-05	0.002450019	1	0.005358527	0.000129097	3.981917304	3.084112027	3.185767682	2.467424369	2.984178247	4.155900037	4.509938788
TRINITY_DN133363_c4_g1_i2	ID=Xetrov90001680mgName=polrmt-like]RPOM_MOUSERPOM_MOUSEQ	Chr01	86668108	86668108	4.208205567	-1.656255884	-0.040905242	-1.615350642	-1.635803263	4.27E-08	0.922414677	0.000463733	1.15E-07	4.05E-07	1	0.00381732	1.08E-06	4.931569397	3.277930686	3.036559661	3.305019631	3.453579027	4.823483493	4.98686762
TRINITY_DN133364_c0_g2_i1	ID=Xetrov90002645mgName=smtn]SMTN_MOUSESMTN_MOUSEQ	Chr01	131544498	131544498	0.63081405	-0.912388041	-0.26833141	-0.644056631	-0.778222336	0.084531101	0.717695852	0.400503167	0.140366863	0.144347324	1	0.550133504	0.214562684	0.666267516	0.705199695	-0.673161681	0.406739109	0.141228646	0.669453467	1.562099922
TRINITY_DN133390_c3_g1_i1	ID=Xetrov90003195mgName=cmklr1]CML1_BOVINCML1_BOVINQ	Chr01	155941705	155941705	1.76990481	1.001982449	0.29676393	0.70521852	0.853600484	0.024097196	0.638348436	0.242194552	0.053581647	0.0542321	1	0.391460553	0.100876191	0.955432549	2.311987523	1.884584602	1.873819007	2.273157876	1.749983049	0.576633233
TRINITY_DN133410_c0_g1_i3	ID=Xetrov90002848mgName=cit]CTRO_HUMANCTRO_HUMANQ	Chr01	142829798	142829798	3.20142665	-0.407831439	-0.246819236	-0.161012202	-0.284421821	0.244399186	0.613899764	0.746775401	0.416742541	0.333273332	1	0.833141291	0.50905756	3.117903862	2.936481987	2.827492612	3.225039187	3.158173078	3.586800953	3.411752436
TRINITY_DN133421_c0_g1_i2	ID=Xetrov90003401mgName=ocln]OCLN_XENLAOCLN_XENLAQ	Chr01	167368970	167368970	5.437690115	-0.258970756	-0.457990343	0.199019587	-0.029975584	0.349636414	0.230218501	0.606718161	0.913671904	0.443373694	1	0.724633779	0.936048948	5.177038238	5.172297064	5.043670217	5.709211505	5.501272078	5.522980134	5.770205248
TRINITY_DN133446_c1_g1_i3	ID=Xetrov90002994mgName=ypel1]YPEL1_HUMANYPEL1_HUMANQ	Chr01	145637303	145637303	0.774798342	0.142149712	0.703518394	-0.561368681	-0.209609485	0.760267095	0.31308471	0.416560704	0.656346713	0.814581178	1	0.565205605	0.726494872	0.643214201	1.417060764	0.625246111	0.235882931	0.550972264	0.981847396	0.681481191
TRINITY_DN133458_c2_g1_i1	ID=Xetrov90003417mgName=avd]AVID_CHICKAVID_CHICKQ	Chr01	167915859	167915859	1.652332847	-0.481191453	-1.544496209	1.063304757	0.291056652	0.389945402	0.034996239	0.151374156	0.599106996	0.483424527	1	0.285610243	0.676699526	0.688958241	0.079369012	0.410996023	2.655457409	2.076562993	1.962587933	1.849948476
TRINITY_DN133467_c10_g1_i1	ID=Xetrov90001576mgName=arhgef18-like]ARHGI_HUMANARHGI_HUMANQ	Chr01	84157660	84157660	2.385910254	-1.911072143	0.35951256	-2.270584703	-2.090828423	3.66E-06	0.545425351	0.000528407	1.07E-06	2.55E-05	1	0.004251348	8.50E-06	3.4187057	1.357731513	1.139058476	0.939543397	1.371827533	2.618392038	3.374705158
TRINITY_DN133484_c1_g2_i3	ID=Xetrov90002425mgName=thtpa]THTPA_BOVINTHTPA_BOVINQ	Chr01	127662126	127662126	3.333364985	-1.472092849	0.264756658	-1.736849507	-1.604471178	2.88E-05	0.598291585	0.001451997	8.80E-06	0.00016956	1	0.009598603	5.88E-05	3.889432871	2.853009879	2.414560079	2.277831548	2.294619593	4.157627915	3.95200678
TRINITY_DN133508_c4_g1_i4	ID=Xetrov90001244mgName=abcg2]ABCG2_HUMANABCG2_HUMANQ	Chr01	69819146	69819146	5.269893456	-0.81898607	0.178298893	-0.997284964	-0.908135517	0.004105229	0.660820943	0.019442664	0.001652438	0.013056284	1	0.070040751	0.006130863	5.497745487	5.20772986	4.912156144	4.701653888	4.408899577	5.812309793	5.763055302
TRINITY_DN133511_c1_g3_i4	ID=Xetrov90001943mgName=sin3b]SIN3B_MOUSESIN3B_MOUSEQ	Chr01	99793583	99793583	5.200728072	-1.856891884	0.162927623	-2.019819507	-1.938355696	4.74E-12	0.663777077	1.46E-06	2.74E-12	7.58E-11	1	2.84E-05	5.05E-11	5.864578577	4.039310097	4.001592167	3.963340257	4.317502355	6.082142576	5.984139055
TRINITY_DN133561_c0_g1_i1	ID=Xetrov90003491mgName=rgmb]RGMB_HUMANRGMB_HUMANQ	Chr01	173550726	173550726	0.617767759	-1.881092058	-0.068695802	-1.812396256	-1.846744157	0.000269935	0.926091471	0.021424845	0.000423097	0.001270999	1	0.074997254	0.001895224	1.147885449	-0.518862735	-1.130256733	-0.390126606	0.093047713	1.17165742	1.678143477
TRINITY_DN133563_c10_g1_i1	ID=Xetrov90001697mgName=kxd1]KXDL1_XENTRKXDL1_XENTRQ	Chr01	87476847	87476847	2.873779839	-2.544989237	0.55484637	-3.099835606	-2.822412421	4.05E-11	0.319703771	9.81E-07	5.81E-12	5.82E-10	1	2.00E-05	1.03E-10	3.801063922	1.274628582	1.139058476	0.749342968	1.45041864	3.602109505	4.003476065
TRINITY_DN133605_c0_g1_i7	ID=Xetrov90003371mgName=gfm2-like]RRF2M_PONABRRF2M_PONABQ	Chr01	165785366	165785366	3.709310499	-0.652381364	0.273913875	-0.926295238	-0.789338301	0.045127921	0.559160868	0.056806789	0.016457458	0.088341451	1	0.147231967	0.039773128	4.220597516	3.575695666	3.521493775	3.150020818	3.128602083	3.97957512	4.005497128
TRINITY_DN133641_c6_g2_i2	ID=Xetrov90001082mgName=c4orf32]CD032_HUMANCD032_HUMANQ	Chr01	58371685	58371685	2.607345176	-1.569923764	-0.105883698	-1.464040067	-1.516981915	0.000398875	0.863700533	0.029066347	0.000758352	0.001789899	1	0.09304865	0.003146919	3.15504813	2.441454607	1.139058476	1.8264235	1.200503657	3.304374601	3.365292759
TRINITY_DN133652_c0_g1_i3	ID=Xetrov90000923mgName=arhgap10]RHG10_HUMANRHG10_HUMANQ	Chr01	48026778	48026778	5.376146779	-1.175212371	0.1528146	-1.328026971	-1.251619671	3.83E-06	0.671102882	0.000583411	1.31E-06	2.66E-05	1	0.004587729	1.03E-05	5.933303433	4.757957959	4.78090779	4.615398122	4.764649537	5.921595056	5.969718832
TRINITY_DN133728_c10_g1_i1	ID=Xetrov90003079mgName=fam101a]F101A_HUMANF101A_HUMANQ	Chr01	152002324	152002324	2.36536964	1.009622718	-0.293210268	1.302832986	1.156227852	0.014729294	0.604936125	0.016689826	0.005068088	0.036731786	1	0.062759071	0.015463897	2.097195698	2.422277271	2.420308776	2.948941928	3.042425605	1.399021173	1.362106877
TRINITY_DN133733_c1_g1_i2	ID=Xetrov90002877mgName=sppl3]SPPL3_MOUSESPPL3_MOUSEQ	Chr01	143400992	143400992	6.19086621	-1.209564729	0.028767765	-1.238332494	-1.223948612	4.84E-06	0.93809607	0.001904931	5.20E-06	3.30E-05	1	0.011887995	3.63E-05	6.735282109	5.501821203	5.485354628	5.521081871	5.656450694	6.752554355	6.787242571
TRINITY_DN133740_c1_g1_i4	ID=Xetrov90000516mgName=LOC100489920-like]ADPGK_MOUSEADPGK_MOUSEQ	Chr01	20481224	20481224	2.011500836	0.48682856	-0.309707955	0.796536514	0.641682537	0.221016397	0.573034136	0.138586318	0.105239422	0.307702808	1	0.269048221	0.17091977	2.000735917	2.363166604	2.107617688	2.451892072	1.933406358	1.445024977	1.483077654
TRINITY_DN133740_c2_g1_i11	ID=Xetrov90003549mgName=plk2]PLK2_RATPLK2_RATQ	Chr01	177581313	177581313	6.724099161	-2.015320013	0.339308178	-2.354628191	-2.184974102	1.08E-11	0.412030239	5.88E-07	1.64E-12	1.66E-10	1	1.27E-05	3.09E-11	7.76443803	5.592540675	5.53189807	5.200494871	5.492012472	7.304612458	7.555257584
TRINITY_DN133781_c11_g1_i1	ID=Xetrov90001238mgName=dck1]DCK_MOUSEDCK_MOUSEQ	Chr01	69530333	69530333	2.483892906	-0.000730826	-0.276430112	0.275699287	0.13748423	0.998589986	0.632066735	0.632354108	0.739385658	0.998872576	1	0.745260029	0.797835909	2.317062852	2.888378662	2.00423949	2.715227178	2.294619593	2.016903338	2.861912971
TRINITY_DN133793_c0_g2_i6	ID=Xetrov90001493mgName=misp-like]MISP_HUMANMISP_HUMANQ	Chr01	81977099	81977099	2.017234366	1.187876209	-0.244686096	1.432562305	1.310219257	0.004134568	0.665176346	0.008097283	0.001502598	0.01313305	1	0.036869211	0.005658071	1.114749872	1.999045729	2.54657543	2.607195069	2.484004232	1.574839591	0.779222853
TRINITY_DN133799_c5_g1_i1	ID=Xetrov90001229mgName=snca]SYUA_SERCASYUA_SERCAQ	Chr01	69061906	69061906	0.868915615	0.68798296	-0.522181698	1.210164658	0.949073809	0.182097084	0.454973422	0.075916359	0.064278259	0.263816117	1	0.17922893	0.11609194	0.776312303	0.079369012	1.152935899	1.533617712	1.488164923	-0.246758713	0.366260841
TRINITY_DN133830_c0_g1_i2	ID=Xetrov90001675mgName=tpgs1]TPGS1_HUMANTPGS1_HUMANQ	Chr01	86538887	86538887	3.236855178	-2.290223875	-0.154933136	-2.13529074	-2.212757308	7.25E-10	0.760691046	0.000203336	7.48E-09	8.91E-09	1	0.00193728	8.55E-08	3.706926907	1.61584308	1.933643717	1.9750874	1.891765669	4.287978417	4.22606215
TRINITY_DN133872_c2_g1_i1	ID=Xetrov90001810mgName=arhgap24-like]RHG24_HUMANRHG24_HUMANQ	Chr01	93254503	93254503	3.536615986	1.034732622	0.441207509	0.593525113	0.814128867	0.002293176	0.36505574	0.1986738	0.015784088	0.00801195	1	0.34229157	0.0384746	3.009406232	4.026667565	3.706946845	3.525082906	4.13025609	3.078573562	2.68658424
TRINITY_DN133874_c5_g1_i1	ID=Xetrov90002996mgName=LOC100495450]HIRA_XENLAHIRA_XENLAQ	Chr01	145712746	145712746	6.114032721	-1.522915309	0.326917882	-1.849833191	-1.68637425	1.57E-08	0.391393843	1.06E-05	1.19E-09	1.59E-07	1	0.000162052	1.54E-08	6.74207914	5.314298955	5.110087587	4.96091591	5.421823204	6.7522685	6.925484675
