chr	logFC.XY46.XX46	sexb
Chr03	2.775999686	Famale
Chr03	2.775288924	Famale
Chr08	2.770152928	Famale
Chr06	2.769969151	Famale
Chr06	2.764654253	Famale
Chr02	2.76421675	Famale
Chr07	2.763121818	Famale
Chr07	2.762010992	Famale
Chr04	2.760833377	Famale
Chr02	2.760831353	Famale
Chr01	2.75871915	Famale
Chr01	2.757566392	Famale
Chr02	2.756397648	Famale
Chr06	2.755478322	Famale
Chr02	2.754854185	Famale
Chr09	2.754837361	Famale
Chr03	2.754674257	Famale
Chr08	2.754518822	Famale
Chr03	2.752723637	Famale
Chr05	2.752588285	Famale
Chr05	2.752426266	Famale
Chr06	2.751491397	Famale
Chr01	2.749141889	Famale
Chr09	2.748827046	Famale
Chr03	2.747400701	Famale
Chr02	2.747383527	Famale
Chr08	2.747194564	Famale
Chr05	2.745541464	Famale
Chr09	2.745045048	Famale
Chr03	2.745012722	Famale
Chr04	2.742322034	Famale
Chr05	2.741350246	Famale
Chr02	2.738393808	Famale
Chr09	2.737811703	Famale
Chr03	2.737744654	Famale
Chr01	2.737559316	Famale
Chr04	2.736708898	Famale
Chr09	2.736181542	Famale
Chr07	2.735283083	Famale
Chr03	2.730564166	Famale
Chr02	2.728129363	Famale
Chr09	2.726393521	Famale
Chr02	2.725286551	Famale
Chr05	2.724617252	Famale
Chr01	2.723192178	Famale
Chr08	2.723007575	Famale
Chr09	2.722442116	Famale
Chr01	2.72166617	Famale
Chr06	2.720942185	Famale
Chr10	2.718714068	Famale
Chr02	2.71712982	Famale
Chr01	2.716826229	Famale
Chr10	2.713294434	Famale
Chr08	2.709678926	Famale
Chr01	2.709267106	Famale
Chr02	2.708209571	Famale
Chr04	2.706962249	Famale
Chr02	2.70676499	Famale
Chr03	2.705527324	Famale
Chr05	2.702469834	Famale
Chr08	2.70124823	Famale
Chr07	2.701125439	Famale
Chr06	2.700947673	Famale
Chr04	2.699823537	Famale
Chr03	2.698115806	Famale
Chr09	2.697863706	Famale
Chr01	2.697020782	Famale
Chr03	2.696809427	Famale
Chr02	2.696080337	Famale
Chr08	2.694625732	Famale
Chr09	2.694226144	Famale
Chr01	2.691192315	Famale
Chr08	2.690269209	Famale
Chr01	2.689789035	Famale
Chr01	2.687343849	Famale
Chr07	2.687172789	Famale
Chr03	2.68562426	Famale
Chr03	2.684623145	Famale
Chr01	2.683866049	Famale
Chr08	2.682589422	Famale
Chr01	2.682061834	Famale
Chr07	2.681786303	Famale
Chr01	2.681552083	Famale
Chr06	2.680590396	Famale
Chr10	2.680060019	Famale
Chr01	2.678899929	Famale
Chr09	2.677911099	Famale
Chr04	2.672732823	Famale
Chr07	2.671381651	Famale
Chr02	2.671226092	Famale
Chr10	2.67119782	Famale
Chr01	2.670946081	Famale
Chr01	2.669889114	Famale
Chr02	2.669226826	Famale
Chr02	2.669221232	Famale
Chr10	2.668100565	Famale
Chr03	2.667201889	Famale
Chr10	2.665519494	Famale
Chr04	2.665050508	Famale
Chr01	2.664972925	Famale
Chr01	2.664585772	Famale
Chr07	2.6641179	Famale
Chr01	2.66306756	Famale
Chr05	2.662076286	Famale
Chr01	2.661406568	Famale
Chr02	2.66136849	Famale
Chr03	2.661302662	Famale
Chr08	2.661018162	Famale
Chr01	2.660764118	Famale
Chr03	2.65985235	Famale
Chr03	2.659621432	Famale
Chr07	2.658098296	Famale
Chr01	2.657644889	Famale
Chr01	2.656472484	Famale
Chr02	2.655507084	Famale
Chr06	2.655218353	Famale
Chr08	2.654078271	Famale
Chr04	2.653519877	Famale
Chr05	2.650868671	Famale
Chr04	2.649776566	Famale
Chr01	2.648994507	Famale
Chr06	2.6485247	Famale
Chr08	2.647028613	Famale
Chr01	2.646979094	Famale
Chr04	2.646937768	Famale
Chr05	2.646550352	Famale
Chr01	2.645502694	Famale
Chr03	2.64507371	Famale
Chr03	2.644464836	Famale
Chr05	2.644012656	Famale
Chr02	2.643953358	Famale
Chr10	2.642635421	Famale
Chr05	2.641604927	Famale
Chr08	2.640984054	Famale
Chr03	2.640742084	Famale
Chr09	2.639130446	Famale
Chr06	2.6389283	Famale
Chr02	2.637961018	Famale
Chr01	2.637388021	Famale
Chr08	2.635633988	Famale
Chr09	2.634617007	Famale
Chr05	2.633980539	Famale
Chr06	2.630283052	Famale
Chr05	2.630230017	Famale
Chr02	2.629249472	Famale
Chr02	2.628525179	Famale
Chr10	2.628221968	Famale
Chr02	2.627868142	Famale
Chr01	2.626572104	Famale
Chr07	2.625679874	Famale
Chr10	2.621457477	Famale
Chr05	2.620406812	Famale
Chr08	2.616195821	Famale
Chr06	2.615749361	Famale
Chr01	2.615493979	Famale
Chr02	2.615172705	Famale
Chr01	2.613374887	Famale
Chr09	2.611758105	Famale
Chr02	2.611572185	Famale
Chr03	2.609978133	Famale
Chr04	2.609945095	Famale
Chr01	2.609842986	Famale
Chr05	2.60959811	Famale
Chr02	2.607055028	Famale
Chr01	2.606530548	Famale
Chr07	2.605061768	Famale
Chr04	2.605003427	Famale
Chr10	2.604332648	Famale
Chr10	2.602833561	Famale
Chr01	2.602389471	Famale
Chr08	2.600942608	Famale
Chr01	2.600662222	Famale
Chr02	2.600256821	Famale
Chr03	2.600122153	Famale
Chr06	2.599500848	Famale
Chr05	2.598397508	Famale
Chr09	2.597912971	Famale
Chr04	2.596262189	Famale
Chr04	2.59509593	Famale
Chr09	2.594419527	Famale
Chr06	2.593831255	Famale
Chr07	2.59371133	Famale
Chr08	2.593572202	Famale
Chr08	2.593458417	Famale
Chr10	2.593102456	Famale
Chr01	2.592419573	Famale
Chr05	2.589558284	Famale
Chr04	2.587460994	Famale
Chr02	2.587062271	Famale
Chr05	2.58659631	Famale
Chr02	2.58485553	Famale
Chr05	2.582929662	Famale
Chr02	2.581720534	Famale
Chr01	2.580672749	Famale
Chr07	2.580155326	Famale
Chr03	2.579480768	Famale
Chr02	2.579163938	Famale
Chr05	2.578211927	Famale
Chr10	2.578049206	Famale
Chr04	2.577700977	Famale
Chr03	2.576331026	Famale
Chr05	2.573800623	Famale
Chr10	2.573117566	Famale
Chr07	2.573103481	Famale
Chr01	2.57230661	Famale
Chr02	2.571514652	Famale
Chr08	2.569996646	Famale
Chr02	2.567874464	Famale
Chr08	2.566876603	Famale
Chr07	2.566641329	Famale
Chr03	2.562082058	Famale
Chr04	2.5603177	Famale
Chr10	2.558205267	Famale
Chr01	2.554963825	Famale
Chr01	2.554896925	Famale
Chr08	2.553152808	Famale
Chr02	2.553097524	Famale
Chr03	2.551709268	Famale
Chr08	2.551043903	Famale
Chr02	2.549927391	Famale
Chr02	2.549084244	Famale
Chr07	2.547137778	Famale
Chr09	2.546682861	Famale
Chr07	2.546122991	Famale
Chr08	2.545408842	Famale
Chr07	2.545285778	Famale
Chr01	2.544677341	Famale
Chr05	2.54456095	Famale
Chr08	2.543378773	Famale
Chr02	2.541439964	Famale
Chr03	2.541248207	Famale
Chr04	2.541209269	Famale
Chr07	2.538374366	Famale
Chr04	2.538106166	Famale
Chr02	2.535548733	Famale
Chr02	2.534339682	Famale
Chr04	2.533734202	Famale
Chr04	2.528980096	Famale
Chr03	2.527693017	Famale
Chr02	2.527386857	Famale
Chr08	2.525474864	Famale
Chr05	2.524993582	Famale
Chr08	2.523825047	Famale
Chr03	2.518504828	Famale
Chr03	2.518403775	Famale
Chr05	2.517873336	Famale
Chr09	2.516848889	Famale
Chr03	2.516482283	Famale
Chr05	2.516406555	Famale
Chr01	2.516310652	Famale
Chr04	2.515873898	Famale
Chr03	2.515243031	Famale
Chr02	2.51397601	Famale
Chr07	2.513665213	Famale
Chr08	2.513248055	Famale
Chr04	2.513154573	Famale
Chr08	2.512089805	Famale
Chr05	2.511877361	Famale
Chr05	2.51129931	Famale
Chr08	2.511178727	Famale
Chr01	2.511127304	Famale
Chr01	2.510021762	Famale
Chr06	2.509654252	Famale
Chr05	2.509128346	Famale
Chr04	2.507853851	Famale
Chr08	2.504942657	Famale
Chr09	2.503018666	Famale
Chr08	2.502365778	Famale
Chr03	2.502006667	Famale
Chr03	2.501757224	Famale
Chr02	2.500600427	Famale
Chr02	2.499376183	Famale
Chr01	2.498530045	Famale
Chr04	2.498292424	Famale
Chr08	2.497444153	Famale
Chr10	2.496573589	Famale
Chr01	2.495700323	Famale
Chr05	2.495287707	Famale
Chr01	2.493824891	Famale
Chr03	2.493518117	Famale
Chr08	2.492266472	Famale
Chr02	2.491969965	Famale
Chr08	2.491921846	Famale
Chr01	2.491916316	Famale
Chr07	2.491467595	Famale
Chr07	2.491407633	Famale
Chr01	2.490157474	Famale
Chr02	2.489763651	Famale
Chr04	2.48878735	Famale
Chr04	2.488232393	Famale
Chr09	2.488069376	Famale
Chr01	2.487520658	Famale
Chr01	2.487062823	Famale
Chr01	2.486351467	Famale
Chr05	2.483858554	Famale
Chr04	2.482930451	Famale
Chr01	2.481599063	Famale
Chr01	2.480651486	Famale
Chr01	2.479952433	Famale
Chr02	2.479884453	Famale
Chr04	2.479386182	Famale
Chr02	2.476581998	Famale
Chr01	2.475214044	Famale
Chr03	2.473707637	Famale
Chr02	2.473453088	Famale
Chr03	2.472689555	Famale
Chr06	2.472510595	Famale
Chr01	2.471892554	Famale
Chr08	2.471239596	Famale
Chr06	2.470171394	Famale
Chr07	2.46993986	Famale
Chr07	2.469274034	Famale
Chr01	2.466593712	Famale
Chr07	2.465265495	Famale
Chr02	2.462053481	Famale
Chr10	2.461521812	Famale
Chr08	2.461000698	Famale
Chr02	2.458914815	Famale
Chr04	2.45821604	Famale
Chr05	2.457659314	Famale
Chr04	2.457134396	Famale
Chr03	2.456295699	Famale
Chr02	2.455747441	Famale
Chr04	2.45571222	Famale
Chr08	2.455386452	Famale
Chr05	2.455003503	Famale
Chr01	2.452383389	Famale
Chr01	2.451255236	Famale
Chr10	2.450458696	Famale
Chr03	2.449632435	Famale
Chr01	2.449251755	Famale
Chr09	2.44839995	Famale
Chr02	2.447136117	Famale
Chr02	2.446292652	Famale
Chr04	2.445547655	Famale
Chr04	2.445169201	Famale
Chr04	2.444786591	Famale
Chr07	2.444164938	Famale
Chr02	2.443438279	Famale
Chr01	2.443047958	Famale
Chr02	2.442989173	Famale
Chr07	2.442267409	Famale
Chr05	2.44146049	Famale
Chr05	2.44121577	Famale
Chr02	2.439650592	Famale
Chr03	2.439577773	Famale
Chr03	2.438548036	Famale
Chr02	2.438328006	Famale
Chr04	2.436796115	Famale
Chr08	2.436748416	Famale
Chr01	2.435593779	Famale
Chr09	2.434936004	Famale
Chr05	2.433681793	Famale
Chr04	2.433356092	Famale
Chr04	2.433006394	Famale
Chr06	2.432521377	Famale
Chr02	2.432135766	Famale
Chr01	2.431645508	Famale
Chr09	2.430700251	Famale
Chr04	2.429720837	Famale
Chr01	2.429634683	Famale
Chr06	2.42960478	Famale
Chr08	2.428220502	Famale
Chr05	2.426677906	Famale
Chr04	2.425604101	Famale
Chr05	2.423859888	Famale
Chr07	2.420945931	Famale
Chr01	2.419033876	Famale
Chr01	2.417880779	Famale
Chr10	2.416721501	Famale
Chr02	2.41452466	Famale
Chr07	2.412340762	Famale
Chr10	2.411502066	Famale
Chr03	2.41118186	Famale
Chr07	2.41112466	Famale
Chr05	2.410188979	Famale
Chr10	2.406826348	Famale
Chr02	2.406752928	Famale
Chr05	2.403873363	Famale
Chr08	2.403193581	Famale
Chr09	2.400763683	Famale
Chr04	2.399838807	Famale
Chr03	2.397946614	Famale
Chr03	2.397778217	Famale
Chr01	2.397676528	Famale
Chr09	2.39483518	Famale
Chr08	2.393018734	Famale
Chr09	2.392305231	Famale
Chr07	2.390599251	Famale
Chr03	2.390565878	Famale
Chr07	2.390512489	Famale
Chr07	2.389799317	Famale
Chr01	2.386448687	Famale
Chr01	2.386416268	Famale
Chr07	2.386042895	Famale
Chr05	2.385985163	Famale
Chr09	2.385655072	Famale
Chr01	2.385260094	Famale
Chr07	2.372739281	Famale
Chr08	2.372084067	Famale
Chr08	2.369810004	Famale
Chr07	2.366714102	Famale
Chr10	2.366251217	Famale
Chr08	2.363728579	Famale
Chr08	2.362725167	Famale
Chr08	2.362497086	Famale
Chr01	2.362439673	Famale
Chr02	2.360643776	Famale
Chr02	2.359337423	Famale
Chr10	2.359033475	Famale
Chr02	2.358883714	Famale
Chr05	2.358703113	Famale
Chr08	2.358552848	Famale
Chr03	2.358059068	Famale
Chr02	2.356773705	Famale
Chr10	2.355621892	Famale
Chr01	2.35550279	Famale
Chr02	2.352494599	Famale
Chr06	2.351901793	Famale
Chr01	2.350480568	Famale
Chr01	2.35017787	Famale
Chr07	2.349563563	Famale
Chr03	2.348022112	Famale
Chr06	2.347925944	Famale
Chr04	2.347458584	Famale
Chr05	2.346637651	Famale
Chr05	2.345755852	Famale
Chr09	2.34464163	Famale
Chr02	2.34453892	Famale
Chr03	2.343798221	Famale
Chr03	2.343577661	Famale
Chr06	2.340875207	Famale
Chr05	2.340863979	Famale
Chr03	2.340844162	Famale
Chr05	2.340272244	Famale
Chr04	2.33956647	Famale
Chr09	2.339033972	Famale
Chr08	2.338883399	Famale
Chr10	2.338228987	Famale
Chr01	2.335752154	Famale
Chr02	2.334382418	Famale
Chr06	2.333471055	Famale
Chr08	2.332918045	Famale
Chr04	2.331042704	Famale
Chr01	2.330139019	Famale
Chr07	2.327659515	Famale
Chr05	2.326242696	Famale
Chr03	2.325136986	Famale
Chr02	2.324907535	Famale
Chr02	2.324741649	Famale
Chr06	2.323415384	Famale
Chr02	2.323109443	Famale
Chr05	2.32229404	Famale
Chr02	2.32140444	Famale
Chr02	2.318182321	Famale
Chr05	2.318092589	Famale
Chr04	2.317948103	Famale
Chr08	2.317805828	Famale
Chr07	2.316785918	Famale
Chr03	2.316550341	Famale
Chr08	2.314539657	Famale
Chr03	2.314172104	Famale
Chr05	2.313233471	Famale
Chr01	2.313127146	Famale
Chr05	2.312643012	Famale
Chr08	2.312593577	Famale
Chr04	2.310199611	Famale
Chr04	2.30967562	Famale
Chr06	2.309182748	Famale
Chr06	2.309102524	Famale
Chr07	2.30902299	Famale
Chr02	2.308718117	Famale
Chr07	2.308434956	Famale
Chr03	2.308413469	Famale
Chr02	2.308231503	Famale
Chr02	2.308061052	Famale
Chr08	2.30781312	Famale
Chr05	2.307029695	Famale
Chr01	2.305989637	Famale
Chr04	2.305592131	Famale
Chr01	2.301920444	Famale
Chr03	2.301454069	Famale
Chr03	2.299904261	Famale
Chr04	2.298742615	Famale
Chr08	2.298555784	Famale
Chr10	2.298429929	Famale
Chr03	2.29828779	Famale
Chr05	2.297107252	Famale
Chr02	2.296782427	Famale
Chr09	2.296505299	Famale
Chr04	2.296143967	Famale
Chr02	2.296126866	Famale
Chr04	2.294509421	Famale
Chr08	2.294320782	Famale
Chr05	2.294097796	Famale
Chr05	2.292894134	Famale
Chr06	2.291992411	Famale
Chr03	2.291949015	Famale
Chr07	2.291506704	Famale
Chr03	2.291223163	Famale
Chr07	2.290922482	Famale
Chr01	2.289734068	Famale
Chr01	2.288414471	Famale
Chr01	2.287541407	Famale
Chr08	2.287524883	Famale
Chr09	2.287194703	Famale
Chr05	2.284946263	Famale
Chr03	2.284879313	Famale
Chr01	2.284495602	Famale
Chr10	2.283709644	Famale
Chr03	2.2812873	Famale
Chr10	2.279859204	Famale
Chr06	2.279196896	Famale
Chr03	2.275813059	Famale
Chr10	2.274275339	Famale
Chr09	2.273488798	Famale
Chr09	2.272998836	Famale
Chr04	2.272802796	Famale
Chr09	2.27256071	Famale
Chr09	2.271598882	Famale
Chr05	2.271223087	Famale
Chr04	2.266819136	Famale
Chr09	2.266171714	Famale
Chr03	2.263920337	Famale
Chr09	2.263535487	Famale
Chr02	2.263435252	Famale
Chr07	2.261655686	Famale
Chr10	2.261396404	Famale
Chr10	2.259812439	Famale
Chr04	2.259727749	Famale
Chr01	2.258693541	Famale
Chr04	2.258642986	Famale
Chr01	2.258189647	Famale
Chr08	2.258125482	Famale
Chr08	2.258054649	Famale
Chr05	2.257509203	Famale
Chr09	2.256125983	Famale
Chr08	2.254401385	Famale
Chr02	2.250705441	Famale
Chr02	2.249129572	Famale
Chr04	2.245823298	Famale
Chr03	2.244371113	Famale
Chr09	2.243971566	Famale
Chr05	2.243814194	Famale
Chr07	2.243774422	Famale
Chr05	2.243222074	Famale
Chr09	2.242479295	Famale
Chr03	2.241253966	Famale
Chr06	2.241016309	Famale
Chr01	2.24076803	Famale
Chr10	2.237562358	Famale
Chr08	2.236417712	Famale
Chr06	2.236326953	Famale
Chr04	2.236302464	Famale
Chr03	2.235678174	Famale
Chr02	2.232814433	Famale
Chr08	2.231840606	Famale
Chr10	2.230902303	Famale
Chr02	2.228891469	Famale
Chr04	2.228707376	Famale
Chr01	2.228183228	Famale
Chr08	2.227940388	Famale
Chr02	2.227842089	Famale
Chr06	2.227646337	Famale
Chr05	2.227021856	Famale
Chr05	2.226830934	Famale
Chr03	2.226325837	Famale
Chr03	2.2261342	Famale
Chr03	2.224988967	Famale
Chr01	2.22463993	Famale
Chr07	2.224473622	Famale
Chr03	2.223322351	Famale
Chr03	2.22296008	Famale
Chr05	2.221425183	Famale
Chr03	2.22122604	Famale
Chr02	2.219281998	Famale
Chr01	2.218131936	Famale
Chr08	2.216787094	Famale
Chr03	2.216782573	Famale
Chr02	2.216673016	Famale
Chr01	2.215749601	Famale
Chr02	2.214266865	Famale
Chr04	2.211909411	Famale
Chr04	2.210243243	Famale
Chr09	2.208799211	Famale
Chr09	2.207090918	Famale
Chr08	2.203161877	Famale
Chr01	2.201346764	Famale
Chr08	2.20129148	Famale
Chr01	2.200345293	Famale
Chr01	2.19981061	Famale
Chr01	2.198950874	Famale
Chr06	2.198829787	Famale
Chr07	2.198820195	Famale
Chr03	2.196834772	Famale
Chr03	2.196590562	Famale
Chr07	2.194746538	Famale
Chr07	2.192800745	Famale
Chr01	2.191378197	Famale
Chr01	2.190374588	Famale
Chr01	2.188398861	Famale
Chr01	2.187497087	Famale
Chr01	2.187281816	Famale
Chr04	2.186902498	Famale
Chr01	2.186445849	Famale
Chr07	2.184557445	Famale
Chr01	2.184173485	Famale
Chr04	2.184161906	Famale
Chr01	2.183849315	Famale
Chr08	2.183845644	Famale
Chr01	2.183192365	Famale
Chr07	2.183158903	Famale
Chr03	2.182996319	Famale
Chr02	2.18269187	Famale
Chr08	2.182255727	Famale
Chr05	2.181477448	Famale
Chr02	2.181205978	Famale
Chr04	2.18017299	Famale
Chr08	2.178434911	Famale
Chr01	2.177149802	Famale
Chr06	2.177045255	Famale
Chr06	2.176279506	Famale
Chr10	2.175397001	Famale
Chr03	2.174998144	Famale
Chr09	2.173635061	Famale
Chr07	2.173013697	Famale
Chr02	2.171996212	Famale
Chr02	2.17159313	Famale
Chr10	2.171547183	Famale
Chr06	2.171495426	Famale
Chr09	2.170138035	Famale
Chr04	2.169744147	Famale
Chr02	2.168945835	Famale
Chr06	2.168265278	Famale
Chr01	2.167708376	Famale
Chr04	2.167383879	Famale
Chr06	2.166207141	Famale
Chr01	2.165095966	Famale
Chr07	2.165018536	Famale
Chr02	2.16411874	Famale
Chr05	2.163259525	Famale
Chr07	2.162829633	Famale
Chr02	2.161692921	Famale
Chr01	2.161371268	Famale
Chr08	2.160810025	Famale
Chr02	2.160058086	Famale
Chr07	2.159815572	Famale
Chr07	2.159079327	Famale
Chr08	2.158939278	Famale
Chr05	2.156809534	Famale
Chr02	2.156288894	Famale
Chr02	2.1562168	Famale
Chr08	2.155598397	Famale
Chr06	2.155450644	Famale
Chr03	2.152928706	Famale
Chr07	2.152452329	Famale
Chr03	2.152038235	Famale
Chr01	2.151327324	Famale
Chr05	2.150110363	Famale
Chr04	2.149006415	Famale
Chr01	2.148416677	Famale
Chr06	2.147301616	Famale
Chr08	2.146721763	Famale
Chr09	2.146712498	Famale
Chr09	2.146178598	Famale
Chr10	2.145965724	Famale
Chr04	2.145599948	Famale
Chr09	2.144385626	Famale
Chr03	2.14415385	Famale
Chr07	2.144042554	Famale
Chr01	2.143968906	Famale
Chr08	2.143050101	Famale
Chr02	2.142274276	Famale
Chr03	2.142219645	Famale
Chr03	2.141877395	Famale
Chr06	2.141870606	Famale
Chr09	2.140573241	Famale
Chr08	2.140444234	Famale
Chr03	2.139607794	Famale
Chr07	2.138626359	Famale
Chr01	2.138515996	Famale
Chr01	2.136060835	Famale
Chr08	2.134312596	Famale
Chr04	2.134068201	Famale
Chr09	2.133431082	Famale
Chr05	2.133070615	Famale
Chr01	2.131462708	Famale
Chr05	2.129333857	Famale
Chr04	2.127974849	Famale
Chr09	2.127884688	Famale
Chr07	2.127309499	Famale
Chr03	2.126547328	Famale
Chr09	2.12641107	Famale
Chr03	2.125861348	Famale
Chr10	2.124129746	Famale
Chr09	2.123674401	Famale
Chr06	2.1233658	Famale
Chr06	2.123227844	Famale
Chr06	2.121323051	Famale
Chr09	2.120108556	Famale
Chr01	2.119480099	Famale
Chr09	2.117442781	Famale
Chr03	2.117147194	Famale
Chr05	2.116995064	Famale
Chr06	2.109315395	Famale
Chr05	2.108689916	Famale
Chr02	2.10850628	Famale
Chr01	2.108393869	Famale
Chr10	2.108264576	Famale
Chr05	2.107772783	Famale
Chr02	2.10726775	Famale
Chr06	2.106102392	Famale
Chr03	2.105155958	Famale
Chr05	2.104568262	Famale
Chr09	2.101630883	Famale
Chr04	2.100532219	Famale
Chr07	2.100351497	Famale
Chr07	2.098806572	Famale
Chr04	2.097375188	Famale
Chr04	2.0963244	Famale
Chr02	2.09511548	Famale
Chr02	2.095060194	Famale
Chr04	2.094965841	Famale
Chr02	2.094549337	Famale
Chr01	2.094204113	Famale
Chr05	2.093746281	Famale
Chr01	2.092712233	Famale
Chr02	2.091558176	Famale
Chr01	2.091537874	Famale
Chr06	2.091304184	Famale
Chr07	2.091009703	Famale
Chr09	2.090776632	Famale
Chr01	2.090104549	Famale
Chr02	2.089385928	Famale
Chr10	2.089202596	Famale
Chr02	2.089082413	Famale
Chr05	2.088585417	Famale
Chr09	2.088213774	Famale
Chr08	2.087377694	Famale
Chr01	2.085064881	Famale
Chr01	2.084854502	Famale
Chr03	2.084728811	Famale
Chr04	2.084451754	Famale
Chr02	2.084308383	Famale
Chr03	2.0842789	Famale
Chr05	2.082842189	Famale
Chr01	2.081828835	Famale
Chr05	2.081471074	Famale
Chr03	2.08123326	Famale
Chr03	2.080680041	Famale
Chr01	2.080414384	Famale
Chr01	2.080145834	Famale
Chr01	2.080001924	Famale
Chr09	2.079870377	Famale
Chr03	2.079794087	Famale
Chr04	2.07864347	Famale
Chr01	2.077917883	Famale
Chr01	2.077663011	Famale
Chr05	2.076957377	Famale
Chr02	2.076117309	Famale
Chr06	2.074511503	Famale
Chr09	2.07419214	Famale
Chr05	2.07124029	Famale
Chr01	2.070487523	Famale
Chr07	2.069063763	Famale
Chr08	2.068905107	Famale
Chr03	2.068562321	Famale
Chr06	2.068554703	Famale
Chr05	2.068147375	Famale
Chr04	2.067175941	Famale
Chr08	2.066138373	Famale
Chr08	2.065695508	Famale
Chr03	2.063972552	Famale
Chr01	2.062730333	Famale
Chr06	2.062370091	Famale
Chr06	2.062293499	Famale
Chr05	2.061695917	Famale
Chr01	2.061145189	Famale
Chr09	2.060099048	Famale
Chr07	2.059652167	Famale
Chr04	2.059593126	Famale
Chr01	2.059140925	Famale
Chr05	2.058543824	Famale
Chr01	2.057011886	Famale
Chr04	2.056609586	Famale
Chr09	2.056308859	Famale
Chr08	2.055452988	Famale
Chr01	2.055431754	Famale
Chr01	2.055412569	Famale
Chr03	2.054946007	Famale
Chr04	2.052069268	Famale
Chr07	2.051990804	Famale
Chr06	2.051884616	Famale
Chr09	2.05119633	Famale
Chr02	2.05115871	Famale
Chr10	2.050983625	Famale
Chr06	2.050551926	Famale
Chr05	2.050238152	Famale
Chr09	2.049489396	Famale
Chr01	2.049074648	Famale
Chr06	2.048056098	Famale
Chr08	2.047970364	Famale
Chr05	2.045437394	Famale
Chr05	2.045320435	Famale
Chr04	2.043311818	Famale
Chr09	2.042081929	Famale
Chr05	2.041479519	Famale
Chr06	2.041381776	Famale
Chr05	2.03949833	Famale
Chr09	2.037608583	Famale
Chr01	2.036904313	Famale
Chr10	2.036524341	Famale
Chr09	2.035017201	Famale
Chr04	2.035001835	Famale
Chr10	2.033484094	Famale
Chr03	2.033343564	Famale
Chr07	2.032401094	Famale
Chr02	2.032022529	Famale
Chr06	2.031104023	Famale
Chr01	2.031095268	Famale
Chr02	2.028350247	Famale
Chr03	2.028258346	Famale
Chr03	2.028190789	Famale
Chr05	2.026806757	Famale
Chr10	2.026759586	Famale
Chr01	2.026545426	Famale
Chr05	2.025631516	Famale
Chr04	2.024299612	Famale
Chr02	2.023198471	Famale
Chr05	2.022097536	Famale
Chr08	2.021857742	Famale
Chr03	2.021632238	Famale
Chr10	2.021372241	Famale
Chr01	2.020933063	Famale
Chr02	2.020178091	Famale
Chr02	2.019502522	Famale
Chr01	2.019499763	Famale
Chr05	2.0191495	Famale
Chr01	2.018788157	Famale
Chr05	2.017453985	Famale
Chr07	2.015068518	Famale
Chr01	2.015063359	Famale
Chr02	2.014846433	Famale
Chr10	2.014571183	Famale
Chr08	2.013834648	Famale
Chr08	2.013636094	Famale
Chr09	2.011555942	Famale
Chr02	2.011470169	Famale
Chr03	2.01084896	Famale
Chr04	2.01012716	Famale
Chr05	2.009605125	Famale
Chr06	2.00932813	Famale
Chr02	2.008911081	Famale
Chr08	2.007773283	Famale
Chr05	2.006928699	Famale
Chr08	2.006410117	Famale
Chr01	2.00629571	Famale
Chr06	2.005900752	Famale
Chr03	2.005885758	Famale
Chr07	2.005362155	Famale
Chr05	2.005341001	Famale
Chr04	2.003217565	Famale
Chr02	2.002809402	Famale
Chr01	2.002627728	Famale
Chr09	1.997655043	Famale
Chr01	1.994424022	Famale
Chr05	1.994173299	Famale
Chr05	1.994015985	Famale
Chr06	1.993563743	Famale
Chr01	1.993362292	Famale
Chr06	1.991935784	Famale
Chr08	1.991521738	Famale
Chr03	1.991041842	Famale
Chr08	1.989723908	Famale
Chr05	1.988933946	Famale
Chr07	1.988394484	Famale
Chr08	1.987572064	Famale
Chr01	1.987190696	Famale
Chr08	1.986808292	Famale
Chr02	1.986531327	Famale
Chr01	1.986124279	Famale
Chr06	1.98516345	Famale
Chr09	1.985086163	Famale
Chr07	1.98470361	Famale
Chr02	1.98359717	Famale
Chr01	1.982422087	Famale
Chr03	1.982261314	Famale
Chr01	1.980066401	Famale
Chr07	1.979981681	Famale
Chr06	1.978312612	Famale
Chr07	1.978205198	Famale
Chr04	1.974324004	Famale
Chr02	1.974194679	Famale
Chr08	1.97410425	Famale
Chr05	1.973994645	Famale
Chr10	1.973453955	Famale
Chr02	1.973176399	Famale
Chr02	1.972812738	Famale
Chr03	1.97240067	Famale
Chr08	1.97134159	Famale
Chr02	1.970878678	Famale
Chr01	1.969963585	Famale
Chr01	1.969721615	Famale
Chr09	1.969550007	Famale
Chr06	1.968664924	Famale
Chr04	1.967902034	Famale
Chr01	1.966887431	Famale
Chr02	1.965979715	Famale
Chr06	1.965791547	Famale
Chr04	1.965721514	Famale
Chr03	1.961236466	Famale
Chr04	1.960710837	Famale
Chr04	1.960411016	Famale
Chr08	1.960345096	Famale
Chr01	1.960227257	Famale
Chr01	1.959710957	Famale
Chr03	1.959112877	Famale
Chr08	1.958713305	Famale
Chr09	1.957672823	Famale
Chr01	1.957429099	Famale
Chr10	1.956827728	Famale
Chr09	1.956324589	Famale
Chr02	1.955874608	Famale
Chr06	1.955252207	Famale
Chr07	1.955209931	Famale
Chr04	1.954909017	Famale
Chr04	1.954878592	Famale
Chr05	1.954847099	Famale
Chr08	1.954615883	Famale
Chr07	1.954550501	Famale
Chr02	1.954279129	Famale
Chr01	1.953692479	Famale
